Ritalin,hiking,BeachBody OnDemand,physical therapy,snuggles,Cyclizine,new environment,Dehydrated,had sex,Florinef,slept not alone,had sex last night,BLT,singing,ate breakfast,Solifenacin,Darifenacin,Probiotic,digestive enzyme,travel,Ribose,Monteluklast,slept lots,Socialising,Ate too late,Feverfew,Carbomer eye drops,woke up late,alverine,dairy,holiday,slept late,Piyo,exercise,A little stressed,shopping,SAM-E,very active aqua class,Superlong nap,Cider,TigerBalm,Rather bad sleep,busy,scary new shit,Social,worked,Friends,day at home,Cetraben cream,caught pokemon,Much sex,long shopping  trip,Cinema,Guarana & Ginseng,studied,went to bed too late,Ginger,Work hard,Hydrocortisone,Vitamin b12,walked,Cerelle,Passionflower,Singing,row
0.777617092574,0.0,0.0,0.0,0.0,1.38357735187,,0.0,,0.0,0.0,0.0,,2.0,0.806883621501,,2.0,0.955585273947,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0155083388,0.0,0.0,2.0,1.48554999607,2.0,,0.0,0.0,2.0,0.0957388868919,2.0,0.0,0.0,2.0,0.0,,1.94554183841,1.99999986515,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,0.955585273947,2.0,2.0,0.955585273947,2.0,Solifenacin
0.0,,,,,0.0,,2.0,,,2.0,2.0,,0.0,0.0,2.0,,0.0,,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,2.0,,2.0,0.0,,2.0,0.0,,,0.0,0.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,0.0,,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,Darifenacin
0.0161256288024,0.0,0.0,0.0,0.0,1.93963389737,,2.0,,0.0,2.0,2.0,,0.0,0.0112151757326,0.955585273947,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0017957623133,2.0,0.0,0.0,1.89491178276,0.0,,0.0,2.0,2.0,1.38639604276,0.0,0.0,2.0,0.0,0.0,,0.716816605975,1.04493352934,2.0,0.0,2.0,0.0,2.0,,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,0.0,-2.22044604925e-16,0.0,0.0,-2.22044604925e-16,0.0,Probiotic
0.0,0.0,0.0,0.0,0.0,2.0,,,,0.0,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,0.0,,2.0,,,0.0,,2.0,2.0,,0.0,,,0.0,,0.0,2.0,,,,0.0,,,,0.0,,,,,,,0.0,0.0,,,0.0,,digestive enzyme
0.0,,,,,0.0,,2.0,,,2.0,2.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,2.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,2.0,,2.0,0.0,,2.0,0.0,,,0.0,0.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,0.0,,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,travel
0.0,,,,,0.0,,2.0,,,2.0,2.0,,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,2.0,,2.0,0.0,,2.0,0.0,,,0.0,0.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,0.0,,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,Ribose
0.0,,,,,0.0,,2.0,,,2.0,2.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,2.0,,2.0,0.0,,2.0,0.0,,,0.0,0.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,0.0,,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,Monteluklast
2.0,,,,,2.0,,0.0,,,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,,0.0,0.0,2.0,0.0,,2.0,2.0,2.0,,,0.0,,0.0,2.0,,0.0,2.0,,,2.0,2.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,2.0,,0.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,slept lots
2.0,,,,,2.0,,0.0,,,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,,0.0,2.0,0.0,,2.0,2.0,2.0,,,0.0,,0.0,2.0,,0.0,2.0,,,2.0,2.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,2.0,,0.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,Socialising
2.0,,,,,2.0,,0.0,,,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,2.0,,,0.0,,0.0,2.0,,0.0,2.0,,,2.0,2.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,2.0,,0.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,Ate too late
