Triamcinolone Lotion,emotional hangover,cried,Hemorrhoid Cream,very fatigued,Joint Pain,migraine day,drank lots of water,Knackered,migraine yesterday,woke up without alarm,saw a movie,meditation,meditation ,Started period,Prednisone,nectarine,Flonase,Walked the Dogs,Diary,Iceburg Lettuce,on my feet a lot,hard time functioning,saw Adam,very hot,"Busy Day,  VBS prep",Busy VBS day,feeling sad,Busy VBS prep,trouble thinking,Anxious,butternut squash risotto,fatigued,day at home,unknown fructose content,kidney pain,Triamcinolone Cream,Hiking,meditated,Fish oil,bad sleep,last day of selenium,Emotionally Drained,Spotting,horseback riding,saw psychologist,had sex,Singing lesson,overslept,Fight with Vee,unproductive,went to movies,tired,Poorly ,don't care about anything,Broke VLCD,contact with parents,Headache,PTO,Warped Tour,alcohol,Worked Outside,Busy VBS evening,Sauna,dehydrated,"Ugh,  slow start",stayed up to late last night,exercise,Veggies,Humira,UTI,Upset,Vitamin C,Taco Bell,last day of period,forgot meal,Painting.,Projects,Rainy Day,Cried,studied,hydrocortisone suppository ,Lettuce,new environment,stressed,Late lunch,Cardio,toes very painful,Went to work,hiking,Angry,period,Dairy,restless,Regular Day,tidied,spinach,Painted,angry,Raided,walked the dogs,Antibiotics,Vets,Fructose,bad headache,self-harmed,Nasal Congestion,painful,happy,Doctor's Appointment,resting,Hangry,Book Club,a lot of muscle pain from washing my feet yesterday,jetlagged,"Busy VBS prep,  & painting",antibiotics,church ,Stressed,Fun,napped several times,sat outside,blood test,Tired,Exhausted,puppy training,std checkup,fructose ,blood work,Tylenol,Melatonin,little sleep,Gluten,Fingers dislocating,Encouraged about GI,napped,exhausted,upset,book club,2 Hr Nap,sad,Nap,first day of period,Fighting with Nate and Elizabeth,Interview,Inflamma-blox,Went out,trouble getting up,memories of Dorian,toes dislocating,Iceberg Lettuce,Ocella,foggy day,woke up with dry eye,nap,Fatigued,sick,fingers very painful,Couldn't be bothered with anything,feet tingly,with James H,depressed day,Neti Pot,muscle soreness,menstruating,Daytime nap,audition,fatigue,cleaning,Iron,fructose,Popcorn,yoga,Sad,weekend,no work,Car travel,archery,Short of Breath,Lots of work,good sleep,psychology,weights,Fishing,row
,,0.0,2.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,2.0,,,,0.0,0.0,,,,,,2.0,,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,Iceburg Lettuce
,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,2.0,,,,,,,,,,,2.0,2.0,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on my feet a lot
,,0.0,2.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,2.0,,,,0.0,0.0,,,,,,2.0,,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,hard time functioning
2.0,0.0,,2.0,,,2.0,0.0,2.0,0.0,2.0,,,,,2.0,2.0,2.0,,,,,,,,,,,,2.0,2.0,0.0,,2.0,,0.0,0.0,,,,,0.0,,,2.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,2.0,,,2.0,,,2.0,,,0.0,,,2.0,,,2.0,,,,,2.0,,,2.0,2.0,,,0.0,,2.0,,2.0,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,2.0,,0.0,2.0,,,0.0,,2.0,0.0,,,,,,,2.0,,,,0.0,2.0,,,,,,,0.0,0.0,,,,,,,,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,,,0.0,2.0,0.0,0.0,2.0,,0.0,0.0,,0.0,,0.0,2.0,,,,,0.0,2.0,,2.0,,0.0,0.0,2.0,,,saw Adam
,,0.0,2.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,2.0,,,,0.0,0.0,,,,,,2.0,,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,very hot
,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Busy Day,  VBS prep"
,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Busy VBS day
,,0.0,2.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,2.0,,,,0.0,0.0,,,,,,2.0,,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,feeling sad
,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Busy VBS prep
0.0,2.0,,0.0,,,0.0,2.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,,,,,,2.0,,,,,,,0.0,2.0,,0.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,,,0.0,,,0.0,,,2.0,,,0.0,,,0.0,,,,,0.0,,,0.0,0.0,,,2.0,,0.0,,0.0,,,0.0,2.0,2.0,2.0,,2.0,,,2.0,,,0.0,,2.0,0.0,,,2.0,,0.0,2.0,,,,,,,0.0,,,,2.0,0.0,,,,,,,2.0,2.0,,,,,,,,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,,,2.0,2.0,2.0,,,2.0,0.0,2.0,2.0,0.0,,2.0,2.0,,2.0,,2.0,0.0,,,,,2.0,0.0,,0.0,,2.0,2.0,0.0,,,trouble thinking
0.0,2.0,0.0,1.59313213461,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.66232272009,0.0,1.30446010303,0.0,0.0,0.0,,0.0,2.0,0.0,,,0.0,,0.0,,2.0,0.0,0.0,0.0,2.0,1.99999603677,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.684150931216,0.0,0.0,0.0425856363942,0.0,,0.0,0.0,,0.0,0.0,0.0,1.96554813483,0.0,0.0,0.559297179691,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,0.0,0.0,1.88334426219e-05,0.0,0.0,2.0,0.0,0.0015645388932,0.0,0.102543381433,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.151649114475,0.0,,2.0,0.0,0.0,2.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.464700176753,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.468003833805,0.0,2.0,0.0,2.0,1.46975085526,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.223761832156,0.0,0.0,0.0,Anxious
2.0,0.0,,2.0,,,2.0,0.0,2.0,0.0,2.0,,,,,2.0,2.0,2.0,,,,,,0.0,,,,,,2.0,2.0,,,2.0,,0.0,0.0,,,,,0.0,,,2.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,2.0,,,2.0,,,2.0,,,0.0,,,2.0,,,2.0,,,,,2.0,,,2.0,2.0,,,0.0,,2.0,,2.0,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,2.0,,0.0,2.0,,,0.0,,2.0,0.0,,,,,,,2.0,,,,0.0,2.0,,,,,,,0.0,0.0,,,,,,,,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,,,0.0,2.0,0.0,0.0,2.0,,0.0,0.0,,0.0,,0.0,2.0,,,,,0.0,2.0,,2.0,,0.0,0.0,2.0,,,butternut squash risotto
,,0.0,2.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,2.0,,,,0.0,0.0,,,,,,2.0,,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,fatigued
0.0,2.0,,0.0,,,0.0,2.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,,,,,,2.0,,,,,,0.0,0.0,2.0,,,,2.0,2.0,,,,,2.0,,,0.0,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,,,0.0,,,0.0,,,2.0,,,0.0,,,0.0,,,,,0.0,,,0.0,0.0,,,2.0,,0.0,,0.0,,,0.0,2.0,2.0,2.0,,2.0,,,2.0,,,0.0,,2.0,0.0,,,2.0,,0.0,2.0,,,,,,,0.0,,,,2.0,0.0,,,,,,,2.0,2.0,,,,,,,,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,,,2.0,2.0,2.0,,,2.0,0.0,2.0,2.0,0.0,,2.0,2.0,,2.0,,2.0,0.0,,,,,2.0,0.0,,0.0,,2.0,2.0,0.0,,,day at home
,,0.0,2.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,2.0,,,,0.0,0.0,,,,,,2.0,,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,unknown fructose content
2.0,0.0,,2.0,,,2.0,0.0,2.0,0.0,2.0,,,,,2.0,2.0,2.0,,,,,,0.0,,,,,,2.0,2.0,0.0,,2.0,,,0.0,,,,,0.0,,,2.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,2.0,,,2.0,,,2.0,,,0.0,,,2.0,,,2.0,,,,,2.0,,,2.0,2.0,,,0.0,,2.0,,2.0,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,2.0,,0.0,2.0,,,0.0,,2.0,0.0,,,,,,,2.0,,,,0.0,2.0,,,,,,,0.0,0.0,,,,,,,,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,,,0.0,2.0,0.0,0.0,2.0,,0.0,0.0,,0.0,,0.0,2.0,,,,,0.0,2.0,,2.0,,0.0,0.0,2.0,,,kidney pain
2.0,0.0,2.0,0.40460352854,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.335570559643,2.0,0.692859370889,2.0,2.0,2.0,,2.0,0.0,2.0,,,2.0,,2.0,1.99999603677,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.31851908873,2.0,2.0,1.95822342218,2.0,,2.0,2.0,,2.0,2.0,2.0,0.0351883262154,2.0,2.0,1.4381738273,2.0,2.0,2.0,,,2.0,2.0,2.0,0.0,2.0,2.0,1.99999448234,2.0,2.0,0.0,2.0,1.99827407777,2.0,1.8986949394,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.84983808934,2.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.53767575779,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.53437798291,2.0,0.0,2.0,0.0,0.527765580007,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.77801002733,2.0,2.0,2.0,Triamcinolone Cream
,,0.0,2.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,,0.0,,2.0,,0.0,2.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,2.0,,,,0.0,0.0,,,,,,2.0,,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,Hiking
,,0.0,2.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,,2.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,2.0,,,,0.0,0.0,,,,,,2.0,,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,meditated
,,2.0,0.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,,2.0,,2.0,,,2.0,,,2.0,,2.0,,2.0,,0.0,2.0,2.0,,2.0,,2.0,2.0,,,2.0,,,,,,,,,,,2.0,2.0,,2.0,2.0,,,2.0,,,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,,,2.0,2.0,,0.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,,2.0,2.0,,2.0,2.0,,2.0,,2.0,2.0,,,2.0,,,,2.0,,2.0,2.0,,,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,0.0,,,,2.0,2.0,,,,,,0.0,,2.0,2.0,,2.0,,0.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,,2.0,,2.0,2.0,Fish oil
,,0.0,2.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,2.0,,,,0.0,0.0,,,,,,2.0,,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,bad sleep
2.0,0.0,,2.0,,,2.0,0.0,2.0,0.0,2.0,,,,,2.0,2.0,2.0,,,,,,0.0,,,,,,2.0,2.0,0.0,,2.0,,0.0,0.0,,,,,,,,2.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,2.0,,,2.0,,,2.0,,,0.0,,,2.0,,,2.0,,,,,2.0,,,2.0,2.0,,,0.0,,2.0,,2.0,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,2.0,,0.0,2.0,,,0.0,,2.0,0.0,,,,,,,2.0,,,,0.0,2.0,,,,,,,0.0,0.0,,,,,,,,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,,,0.0,2.0,0.0,0.0,2.0,,0.0,0.0,,0.0,,0.0,2.0,,,,,0.0,2.0,,2.0,,0.0,0.0,2.0,,,last day of selenium
,,0.0,2.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,,,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,2.0,,,,0.0,0.0,,,,,,2.0,,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,Emotionally Drained
,,0.0,2.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,2.0,,,,0.0,0.0,,,,,,2.0,,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,Spotting
0.0,2.0,,0.0,,,0.0,2.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,,,,,,2.0,,,,,,0.0,0.0,2.0,,0.0,,2.0,2.0,,,,,2.0,,,,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,,,0.0,,,0.0,,,2.0,,,0.0,,,0.0,,,,,0.0,,,0.0,0.0,,,2.0,,0.0,,0.0,,,0.0,2.0,2.0,2.0,,2.0,,,2.0,,,0.0,,2.0,0.0,,,2.0,,0.0,2.0,,,,,,,0.0,,,,2.0,0.0,,,,,,,2.0,2.0,,,,,,,,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,,,2.0,2.0,2.0,,,2.0,0.0,2.0,2.0,0.0,,2.0,2.0,,2.0,,2.0,0.0,,,,,2.0,0.0,,0.0,,2.0,2.0,0.0,,,horseback riding
2.0,0.0,,2.0,,,2.0,0.0,2.0,0.0,2.0,,,,,2.0,2.0,2.0,,,,,,0.0,,,,,,2.0,2.0,0.0,,2.0,,0.0,0.0,,,,,0.0,,,2.0,,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,2.0,,,2.0,,,2.0,,,0.0,,,2.0,,,2.0,,,,,2.0,,,2.0,2.0,,,0.0,,2.0,,2.0,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,2.0,,0.0,2.0,,,0.0,,2.0,0.0,,,,,,,2.0,,,,0.0,2.0,,,,,,,0.0,0.0,,,,,,,,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,,,0.0,2.0,0.0,0.0,2.0,,0.0,0.0,,0.0,,0.0,2.0,,,,,0.0,2.0,,2.0,,0.0,0.0,2.0,,,saw psychologist
,,0.0,2.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,2.0,,,,0.0,0.0,,,,,,2.0,,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,had sex
0.0,2.0,,0.0,,,0.0,2.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,,,,,,2.0,,,,,,0.0,0.0,2.0,,0.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,,,0.0,,,0.0,,,2.0,,,0.0,,,0.0,,,,,0.0,,,0.0,0.0,,,2.0,,0.0,,0.0,,,0.0,2.0,2.0,2.0,,2.0,,,2.0,,,0.0,,2.0,0.0,,,2.0,,0.0,2.0,,,,,,,0.0,,,,2.0,0.0,,,,,,,2.0,2.0,,,,,,,,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,,,2.0,2.0,2.0,,,2.0,0.0,2.0,2.0,0.0,,2.0,2.0,,2.0,,2.0,0.0,,,,,2.0,0.0,,0.0,,2.0,2.0,0.0,,,Singing lesson
