didn't really eat lunch,Vitamins,Cod liver oil,physical therapy,IVIG,church,Dancing,Fluids,Biosil,no sleep,Albuterol Inhaler,Naproxen,prayer,Language Learning,Extra Medications,fuck yeah avocado,ate breakfast,danced,ASMR,Coffee,Vitamin D3,Medical Marijuana,trying to clean the house,Zantac,espresso,SPD alternative treatments,sugar,Daily walk,Medical marijuana,slept 12 hours,had sex,Exercise--walking,playing music,Psyllium husk,Weather- rain,Therapy,Swimming,housework,creative writing,took sleeping pill,Benadryl,coffee,Buffered Salmon Oil - DHA - EPA,Aloe Detox Water,Ranitidine,Pet Therapy,Excedrin,Ligament Restore,Quiet,Calcium citrate,breathing exercises,Essential oils,busy,pasta,Tavegyl,worked,sex,Sisu B Calm,no sleep last night,Thyroid-Pro (CanPrev),Turmeric,Vitamin C,Trigger Points,Medication,Cetirizine,home alone,Deep rest,walked,hot,B12 timed release,cuddled kitten,Vitamin d,cake,AOR Zinc-Copper Balance,Meditation,masturbated,low protein,pasta and veggies,massage,TENS Unit,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,didn't really eat lunch
,2.0,,,,2.0,,2.0,,0.0,,,,0.0,2.0,,,,0.0,2.0,,2.0,,,0.0,0.0,,0.0,0.0,,,2.0,,,2.0,2.0,,,,,,0.0,,2.0,,0.0,,,,,2.0,2.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,2.0,,,,2.0,2.0,slept 12 hours
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,had sex
,0.0,,,,0.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,,,2.0,0.0,,0.0,0.0,,2.0,2.0,,2.0,2.0,2.0,,,2.0,,0.0,0.0813998550048,2.0,,2.0,,,2.0,0.0,0.0,,2.0,,,2.0,,0.0,0.0,1.86393446242,,2.0,,2.0,0.0,,2.0,2.0,,0.0,2.0,,,2.0,,,2.0,2.0,,,2.0,0.0,,,,0.0,0.0,Exercise--walking
,,,,,,2.0,,0.0,,,0.0,0.0,,,0.0,,,,,,,2.0,,,,,,,,,2.0,,,,0.0,0.0,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,0.0,2.0,,0.0,,,2.0,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,playing music
,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,2.0,,,Psyllium husk
,0.0,,,,0.0,,0.0,,2.0,,,,2.0,0.0,,,,2.0,0.0,,0.0,,,2.0,2.0,,2.0,2.0,2.0,,0.0,,,,0.0,,,,,,2.0,,0.0,,2.0,,,,,0.0,0.0,2.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,0.0,,,,0.0,0.0,Weather- rain
,0.0,,,,0.0,2.0,0.0,0.0,2.0,,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,0.0,2.0,,2.0,2.0,,2.0,2.0,2.0,,0.0813998550048,0.0,,0.0,,0.0,,0.0,,,2.0,2.0,0.0,,2.0,,,0.0,,0.0,0.0,1.59459182544,,0.0,,0.0,2.0,,0.0,2.0,,2.0,2.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,Therapy
,,,,,,2.0,,0.0,,,0.0,0.0,,,0.0,,,,,,,2.0,,,,,,,,,2.0,0.0,,,0.0,,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,0.0,2.0,,0.0,,,2.0,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,Swimming
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,housework
,,,,,,2.0,,0.0,,,0.0,0.0,,,0.0,,,,,,,2.0,,,,,,,,,2.0,0.0,,,0.0,0.0,,,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,0.0,2.0,,0.0,,,2.0,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,creative writing
