Alcohol,physical therapy,Caffeine,Sunlight,Synthroid,Aromatherapy,Albuterol Inhaler,Ambien CR,rebounding,Acupuncture,birth control,Magnesium glycinate,5-htp,Nasonex,Claritin,tumeric extract,Strattera,Low oxalate,Zofran,Hydroxyzine,Allergy Shots,eye ointment,gluten free,meds,Snooze,Famotidine,DEHA,Vitamin b complex,Veggies,Benadryl,Methylcobalamine,Ranitidine,strapping of shoulder,Trigger Points,therapy session,Tylenol 3,Astelin,Calcium citrate,Vitamin C,heating pads,Norco,Tavegyl,catheter,THC,Turmeric,Allegra,Klonopin,Cetirizine,Goth clubbing,CBD,Singulair,Fish oil,Snacks,stool softener,Rest,CoQ10,Vitamin b12,Cannabis,Post-op ice device,Zinc,Vitamin d,Ice pack,Melatonin,LUSH acne spot-treatment,massage,row
0.0,0.0,,2.0,0.0,,,0.0,,0.0,0.0,0.000475121594913,0.000475121594913,0.000475121594913,0.000475121594913,2.0,,,0.0,0.0,0.0,0.0,,0.0,,0.000475121594913,,0.000475121594913,,,,,0.0,,0.0,,0.000475121594913,,0.000475121594913,0.0,0.0,,,0.0,,2.22044604925e-16,0.0646170079613,,0.0,0.0,0.000475121594913,0.00807361153314,,0.0,0.0,0.0,0.00807361153314,,0.0,0.000475121594913,0.000475121594913,0.0,0.000475121594913,,,Strattera
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low oxalate
0.0,0.0,,2.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,Zofran
0.0,0.0,,2.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,Hydroxyzine
,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,,,Allergy Shots
0.0,0.0,,2.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,eye ointment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten free
0.0,0.0,,2.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,meds
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,Snooze
0.0,0.0,,2.0,0.0,,,0.0,,0.0,0.0,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,2.0,0.000475121594913,,0.0,0.0,0.0,0.0,,0.0,,,,-2.22044604925e-16,,,,,0.0,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,0.0,0.0,,,0.0,,0.000475121594913,0.0541615246079,,0.0,0.0,-2.22044604925e-16,0.00463616100529,,0.0,0.0,0.0,0.00463616100529,,0.0,-2.22044604925e-16,-2.22044604925e-16,0.0,-2.22044604925e-16,,,Famotidine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEHA
0.0,0.0,,2.0,0.0,,,0.0,,0.0,0.0,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,2.0,0.000475121594913,,0.0,0.0,0.0,0.0,,0.0,,-2.22044604925e-16,,,,,,,0.0,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,0.0,0.0,,,0.0,,0.000475121594913,0.0541615246079,,0.0,0.0,-2.22044604925e-16,0.00463616100529,,0.0,0.0,0.0,0.00463616100529,,0.0,-2.22044604925e-16,-2.22044604925e-16,0.0,-2.22044604925e-16,,,Vitamin b complex
,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,Veggies
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,Benadryl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methylcobalamine
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,Ranitidine
