Alcohol,physical therapy,Sunlight,Synthroid,Ambien CR,Acupuncture,birth control,Magnesium glycinate,5-htp,Nasonex,Claritin,tumeric extract,Strattera,Zofran,Hydroxyzine,Allergy Shots,eye ointment,meds,Famotidine,Vitamin b complex,strapping of shoulder,therapy session,Astelin,Vitamin C,heating pads,Norco,THC,Allegra,Klonopin,Goth clubbing,CBD,Singulair,Fish oil,stool softener,Rest,CoQ10,Vitamin b12,Post-op ice device,Zinc,Vitamin d,Ice pack,Melatonin,row
0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,strapping of shoulder
,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,therapy session
0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0111448204173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0111448204173,0.000900891841455,,0.0,0.0,2.36360970243e-05,0.0,0.0,0.0,2.36360970243e-05,0.0,0.0,0.0,0.0,0.0,Astelin
0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0111448204173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0111448204173,0.000900891841455,,0.0,0.0,2.36360970243e-05,0.0,0.0,0.0,2.36360970243e-05,0.0,0.0,0.0,0.0,0.0,Vitamin C
0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,heating pads
0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Norco
0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,THC
0.0,0.0,0.0,,0.0,,0.0,0.0111448204173,0.0111448204173,0.0111448204173,0.0111448204173,,2.22044604925e-16,0.0,0.0,0.0,0.0,0.0,0.0111448204173,0.0111448204173,0.0,0.0,0.0111448204173,0.0111448204173,0.0,0.0,0.0,,0.0183538463507,,0.0,0.0111448204173,0.0121918123132,0.0,0.0,0.0,0.0121918123132,0.0,0.0111448204173,0.0111448204173,0.0,0.0111448204173,Allegra
0.0,0.0,0.0,,0.0,,0.0,0.000900891841455,0.000900891841455,0.000900891841455,0.000900891841455,,0.0183538463507,0.0,0.0,0.0,0.0,0.0,0.000900891841455,0.000900891841455,0.0,0.0,0.000900891841455,0.000900891841455,0.0,0.0,0.0,0.0183538463507,,,0.0,0.000900891841455,0.000632727798266,0.0,0.0,0.0,0.000632727798266,0.0,0.000900891841455,0.000900891841455,0.0,0.000900891841455,Klonopin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goth clubbing
0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,CBD
0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0111448204173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111448204173,0.000900891841455,,0.0,,2.36360970243e-05,0.0,0.0,0.0,2.36360970243e-05,0.0,0.0,0.0,0.0,0.0,Singulair
0.0,0.0,0.0,,0.0,,0.0,2.36360970243e-05,2.36360970243e-05,2.36360970243e-05,2.36360970243e-05,,0.0121918123132,0.0,0.0,0.0,0.0,0.0,2.36360970243e-05,2.36360970243e-05,0.0,0.0,2.36360970243e-05,2.36360970243e-05,0.0,0.0,0.0,0.0121918123132,0.000632727798266,,0.0,2.36360970243e-05,,0.0,0.0,0.0,-2.22044604925e-16,0.0,2.36360970243e-05,2.36360970243e-05,0.0,2.36360970243e-05,Fish oil
0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,stool softener
0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,Rest
,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,CoQ10
0.0,0.0,0.0,,0.0,,0.0,2.36360970243e-05,2.36360970243e-05,2.36360970243e-05,2.36360970243e-05,,0.0121918123132,0.0,0.0,0.0,0.0,0.0,2.36360970243e-05,2.36360970243e-05,0.0,0.0,2.36360970243e-05,2.36360970243e-05,0.0,0.0,0.0,0.0121918123132,0.000632727798266,,0.0,2.36360970243e-05,-2.22044604925e-16,0.0,0.0,0.0,,0.0,2.36360970243e-05,2.36360970243e-05,0.0,2.36360970243e-05,Vitamin b12
0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,Post-op ice device
0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0111448204173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111448204173,0.000900891841455,,0.0,0.0,2.36360970243e-05,0.0,0.0,0.0,2.36360970243e-05,0.0,,0.0,0.0,0.0,Zinc
0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0111448204173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111448204173,0.000900891841455,,0.0,0.0,2.36360970243e-05,0.0,0.0,0.0,2.36360970243e-05,0.0,0.0,,0.0,0.0,Vitamin d
0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,Ice pack
0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0111448204173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111448204173,0.000900891841455,,0.0,0.0,2.36360970243e-05,0.0,0.0,0.0,2.36360970243e-05,0.0,0.0,0.0,0.0,,Melatonin
