Ritalin,hiking,BeachBody OnDemand,physical therapy,snuggles,Cyclizine,Dehydrated,rice,had sex,Florinef,slept not alone,spicy food,had sex last night,singing,ate breakfast,Solifenacin,sugar yesterday,Darifenacin,ate lots,Probiotic,lifted weights,digestive enzyme,travel,10 hours interrupted sleep,Ribose,Monteluklast,slept lots,Socialising,Physio,Ate too late,Feverfew,Carbomer eye drops,woke up late,alverine,dairy,worked out,holiday,Friends,Piyo,exercise,rest day,busy,Off work,A little stressed,shopping,banana,SAM-E,ate eggs,very active aqua class,Superlong nap,Cider,Mixed nuts snack,TigerBalm,exercised,ate dairy,went to bed too late,Much sex,scary new shit,Social,worked,day at home,Cetraben cream,maple syrup,slept in,long shopping  trip,walked,Cinema,Guarana & Ginseng,eating out,Ginger,Work hard,Hydrocortisone,no gluten,Vitamin b12,mango,beans,Cerelle,Passionflower,Singing,row
,2.0,0.0,2.0,2.0,0.00281715843295,2.0,,,2.0,2.0,,2.0,2.0,0.381800037831,0.486566432174,,0.0,,0.00176179424849,,2.0,2.0,,0.0,0.0,2.0,2.0,,2.0,0.00114664077881,0.0,0.0,0.0,1.30090582991,,0.0,2.0,0.0,2.0,,0.370276720366,,0.0,1.08764868324,,0.0,,2.0,2.0,2.0,,0.0,,,2.0,2.0,1.98349353387,2.0,2.0,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,,0.00176179424849,,,0.0,0.00176179424849,2.0,Ritalin
2.0,,2.0,0.0,0.0,2.0,,,,0.0,,2.0,,,2.0,2.0,,,,2.0,,0.0,,2.0,,,,,,,2.0,,2.0,,0.0,,,,2.0,,,2.0,,2.0,2.0,,,,0.0,2.0,,2.0,2.0,,,,,0.0,,,2.0,,,2.0,2.0,,,,,,,0.0,2.0,2.0,2.0,,,2.0,,hiking
0.0,2.0,,2.0,2.0,0.0,,,,2.0,,,,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,0.0,,0.0,,2.0,,,,0.0,,,0.0,,0.0,0.0,,,,2.0,,,,0.0,,,,,2.0,,,0.0,,,,0.0,,,,,,,2.0,,0.0,,,,0.0,,BeachBody OnDemand
2.0,0.0,2.0,,0.0,2.0,,,,0.0,,,,,2.0,2.0,,,,2.0,,0.0,,,,,,,,,2.0,,2.0,,0.0,,,,2.0,,,2.0,,2.0,2.0,,,,0.0,,,,2.0,,,,,0.0,,,2.0,,,,2.0,,,,,,,0.0,,2.0,,,,2.0,,physical therapy
2.0,0.0,2.0,0.0,,2.0,,,,0.0,,,,,2.0,2.0,,,,2.0,,0.0,,,,,,,,,2.0,,2.0,,0.0,,,,2.0,,,2.0,,2.0,2.0,,,,0.0,,,,2.0,,,,,0.0,,,2.0,,,,2.0,,,,,,,0.0,,2.0,,,,2.0,,snuggles
0.00281715843295,2.0,0.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,2.0,0.442500403742,0.552380453773,,0.0,,0.000123418034841,,2.0,2.0,,0.0,0.0,2.0,2.0,,2.0,0.000369541636018,0.0,0.0,0.0,1.37159094604,,0.0,2.0,0.0,2.0,,0.430319364602,,0.0,1.1621222889,,0.0,,2.0,2.0,2.0,,0.0,,,2.0,2.0,1.99429528757,2.0,2.0,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,,0.000123418034841,,,0.0,0.000123418034841,2.0,Cyclizine
2.0,,,,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,2.0,,,,0.0,0.0,2.0,,2.0,0.0,,,2.0,,,2.0,2.0,0.0,Dehydrated
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,rice
,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,2.0,,,,,,0.0,2.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,,2.0,,,,0.0,,2.0,,,,,,,,,,,,,,had sex
2.0,0.0,2.0,0.0,0.0,2.0,,,,,,,,,2.0,2.0,,,,2.0,,0.0,,,,,,,,,2.0,,2.0,,0.0,,,,2.0,,,2.0,,2.0,2.0,,,,0.0,,,,2.0,,,,,0.0,,,2.0,,,,2.0,,,,,,,0.0,,2.0,,,,2.0,,Florinef
2.0,,,,,2.0,0.0,,,,,,0.0,0.0,0.0,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,2.0,,,,0.0,0.0,2.0,,2.0,0.0,,,2.0,,,2.0,2.0,0.0,slept not alone
,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,spicy food
