Ritalin,hiking,BeachBody OnDemand,physical therapy,snuggles,Cyclizine,Dehydrated,rice,had sex,Florinef,slept not alone,spicy food,had sex last night,singing,ate breakfast,Solifenacin,sugar yesterday,Darifenacin,ate lots,Probiotic,lifted weights,digestive enzyme,travel,10 hours interrupted sleep,Ribose,Monteluklast,slept lots,Socialising,Physio,Ate too late,Feverfew,Carbomer eye drops,woke up late,alverine,dairy,worked out,holiday,Friends,Piyo,exercise,rest day,busy,Off work,A little stressed,shopping,banana,SAM-E,ate eggs,very active aqua class,Superlong nap,Cider,Mixed nuts snack,TigerBalm,exercised,ate dairy,went to bed too late,Much sex,scary new shit,Social,worked,day at home,Cetraben cream,maple syrup,slept in,long shopping  trip,walked,Cinema,Guarana & Ginseng,eating out,Ginger,Work hard,Hydrocortisone,no gluten,Vitamin b12,mango,beans,Cerelle,Passionflower,Singing,row
2.0,,,,,2.0,0.0,,,,0.0,,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,2.0,,,,0.0,0.0,2.0,,2.0,0.0,,,2.0,,,2.0,2.0,0.0,had sex last night
2.0,,,,,2.0,0.0,,,,0.0,,0.0,,0.0,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,2.0,,,,0.0,0.0,2.0,,2.0,0.0,,,2.0,,,2.0,2.0,0.0,singing
0.381800037831,2.0,0.0,2.0,2.0,0.442500403742,0.0,,,2.0,0.0,,0.0,0.0,,0.00808781477942,,2.0,,0.429526683041,,2.0,0.0,,2.0,2.0,0.0,0.0,,0.0,0.420139239192,2.0,0.0,2.0,0.436428138041,,2.0,0.0,0.0,0.0,0.0,0.000108725691286,,0.0,0.271188585298,,2.0,,2.0,0.0,0.0,,0.0,,,0.0,0.0,1.46577047501,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,,0.429526683041,,,2.0,0.429526683041,0.0,ate breakfast
0.486566432174,2.0,0.0,2.0,2.0,0.552380453773,0.0,,,2.0,0.0,,0.0,0.0,0.00808781477942,,,2.0,,0.538386961127,,2.0,0.0,,2.0,2.0,0.0,0.0,,0.0,0.528237660568,2.0,0.0,2.0,0.336136793747,,2.0,0.0,0.0,0.0,,0.0100672910156,,0.0,0.190174986908,,2.0,,2.0,0.0,0.0,,0.0,,,0.0,0.0,1.34968585997,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,,0.538386961127,,,2.0,0.538386961127,0.0,Solifenacin
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,sugar yesterday
0.0,,,,,0.0,2.0,,,,2.0,,2.0,2.0,2.0,2.0,,,,0.0,,,2.0,,0.0,0.0,2.0,2.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,2.0,,2.0,,2.0,,,2.0,,0.0,,,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,,0.0,,,,2.0,2.0,0.0,,0.0,2.0,,,0.0,,,0.0,0.0,2.0,Darifenacin
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate lots
0.00176179424849,2.0,0.0,2.0,2.0,0.000123418034841,2.0,,,2.0,2.0,,2.0,2.0,0.429526683041,0.538386961127,,0.0,,,,2.0,2.0,,0.0,0.0,2.0,2.0,,2.0,6.58456300593e-05,0.0,0.0,0.0,1.35695948054,,0.0,2.0,0.0,2.0,,0.417477718394,,0.0,1.14659958714,,0.0,,2.0,2.0,2.0,,0.0,,,2.0,2.0,1.99249684948,2.0,2.0,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,,2.22044604925e-16,,,0.0,2.22044604925e-16,2.0,Probiotic
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,2.0,,,,0.0,,2.0,,,,,,,,,,,,,,lifted weights
2.0,0.0,2.0,0.0,0.0,2.0,,,,0.0,,,,,2.0,2.0,,,,2.0,,,,,,,,,,,2.0,,2.0,,0.0,,,,2.0,,,2.0,,2.0,2.0,,,,0.0,,,,2.0,,,,,0.0,,,2.0,,,,2.0,,,,,,,0.0,,2.0,,,,2.0,,digestive enzyme
2.0,,,,,2.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,2.0,,2.0,,,,,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,2.0,,,,0.0,0.0,2.0,,2.0,0.0,,,2.0,,,2.0,2.0,0.0,travel
,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,10 hours interrupted sleep
0.0,,,,,0.0,2.0,,,,2.0,,2.0,2.0,2.0,2.0,,0.0,,0.0,,,2.0,,,0.0,2.0,2.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,2.0,,2.0,,2.0,,,2.0,,0.0,,,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,,0.0,,,,2.0,2.0,0.0,,0.0,2.0,,,0.0,,,0.0,0.0,2.0,Ribose
0.0,,,,,0.0,2.0,,,,2.0,,2.0,2.0,2.0,2.0,,0.0,,0.0,,,2.0,,0.0,,2.0,2.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,2.0,,2.0,,2.0,,,2.0,,0.0,,,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,,0.0,,,,2.0,2.0,0.0,,0.0,2.0,,,0.0,,,0.0,0.0,2.0,Monteluklast
2.0,,,,,2.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,,0.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,2.0,,,,0.0,0.0,2.0,,2.0,0.0,,,2.0,,,2.0,2.0,0.0,slept lots
2.0,,,,,2.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,0.0,,,0.0,2.0,2.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,2.0,,,,0.0,0.0,2.0,,2.0,0.0,,,2.0,,,2.0,2.0,0.0,Socialising
,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physio
2.0,,,,,2.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,0.0,0.0,,,2.0,2.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,2.0,,,,0.0,0.0,2.0,,2.0,0.0,,,2.0,,,2.0,2.0,0.0,Ate too late
0.00114664077881,2.0,0.0,2.0,2.0,0.000369541636018,2.0,,,2.0,2.0,,2.0,2.0,0.420139239192,0.528237660568,,0.0,,6.58456300593e-05,,2.0,2.0,,0.0,0.0,2.0,2.0,,2.0,,0.0,0.0,0.0,1.34621649091,,0.0,2.0,0.0,2.0,,0.408188625689,,0.0,1.13523842404,,0.0,,2.0,2.0,2.0,,0.0,,,2.0,2.0,1.99102838706,2.0,2.0,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,,6.58456300593e-05,,,0.0,6.58456300593e-05,2.0,Feverfew
0.0,,,,,0.0,2.0,,,,2.0,,2.0,2.0,2.0,2.0,,0.0,,0.0,,,2.0,,0.0,0.0,2.0,2.0,,2.0,0.0,,,0.0,2.0,,0.0,2.0,,2.0,,2.0,,,2.0,,0.0,,,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,,0.0,,,,2.0,2.0,0.0,,0.0,2.0,,,0.0,,,0.0,0.0,2.0,Carbomer eye drops
0.0,2.0,0.0,2.0,2.0,0.0,,,,2.0,,,,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,0.0,,,,2.0,,,,0.0,,,0.0,,0.0,0.0,,,,2.0,,,,0.0,,,,,2.0,,,0.0,,,,0.0,,,,,,,2.0,,0.0,,,,0.0,,woke up late
0.0,,,,,0.0,2.0,,,,2.0,,2.0,2.0,2.0,2.0,,0.0,,0.0,,,2.0,,0.0,0.0,2.0,2.0,,2.0,0.0,0.0,,,2.0,,0.0,2.0,,2.0,,2.0,,,2.0,,0.0,,,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,,0.0,,,,2.0,2.0,0.0,,0.0,2.0,,,0.0,,,0.0,0.0,2.0,alverine
1.30090582991,0.0,2.0,0.0,0.0,1.37159094604,0.0,,0.0,0.0,0.0,,0.0,0.0,0.436428138041,0.336136793747,,2.0,0.0,1.35695948054,,0.0,0.0,,2.0,2.0,0.0,0.0,2.0,0.0,1.34621649091,2.0,2.0,2.0,,,2.0,0.0,2.0,0.0,,0.448670458588,,2.0,0.0186336698191,,2.0,,0.0,0.0,0.0,,2.0,,,0.0,0.0,0.531503809476,0.0,0.0,2.0,2.0,,,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,1.35695948054,,,2.0,1.35695948054,0.0,dairy
,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,2.0,,,,,0.0,,,,2.0,,0.0,,,,,,,,,,,,,,worked out
0.0,,,,,0.0,2.0,,,,2.0,,2.0,2.0,2.0,2.0,,0.0,,0.0,,,2.0,,0.0,0.0,2.0,2.0,,2.0,0.0,0.0,,0.0,2.0,,,2.0,,2.0,,2.0,,,2.0,,0.0,,,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,,0.0,,,,2.0,2.0,0.0,,0.0,2.0,,,0.0,,,0.0,0.0,2.0,holiday
2.0,,,,,2.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,,,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,2.0,,,,0.0,0.0,2.0,,2.0,0.0,,,2.0,,,2.0,2.0,0.0,Friends
0.0,2.0,0.0,2.0,2.0,0.0,,,,2.0,,,,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,0.0,,0.0,,2.0,,,,,,,0.0,,0.0,0.0,,,,2.0,,,,0.0,,,,,2.0,,,0.0,,,,0.0,,,,,,,2.0,,0.0,,,,0.0,,Piyo
2.0,,,,,2.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,0.0,,,,0.0,,,0.0,,2.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,2.0,,,,0.0,0.0,2.0,,2.0,0.0,,,2.0,,,2.0,2.0,0.0,exercise
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,rest day
0.370276720366,2.0,0.0,2.0,2.0,0.430319364602,0.0,,,2.0,0.0,,0.0,0.0,0.000108725691286,0.0100672910156,,2.0,,0.417477718394,,2.0,0.0,,2.0,2.0,0.0,0.0,,0.0,0.408188625689,2.0,0.0,2.0,0.448670458588,,2.0,0.0,0.0,0.0,,,,0.0,0.28136451054,,2.0,,2.0,0.0,0.0,,0.0,,,0.0,0.0,1.47876850264,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,,0.417477718394,,,2.0,0.417477718394,0.0,busy
,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,2.0,,,,0.0,,2.0,,,,,,,,,,,,,,Off work
0.0,2.0,0.0,2.0,2.0,0.0,,,,2.0,,,,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,0.0,,0.0,,2.0,,,,0.0,,,0.0,,,0.0,,,,2.0,,,,0.0,,,,,2.0,,,0.0,,,,0.0,,,,,,,2.0,,0.0,,,,0.0,,A little stressed
1.08764868324,2.0,0.0,2.0,2.0,1.1621222889,0.0,,0.0,2.0,0.0,,0.0,0.0,0.271188585298,0.190174986908,,2.0,0.0,1.14659958714,,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,0.0,1.13523842404,2.0,0.0,2.0,0.0186336698191,,2.0,0.0,0.0,0.0,,0.28136451054,,0.0,,,2.0,,2.0,0.0,0.0,,0.0,,,0.0,0.0,0.733551181121,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,,1.14659958714,,,2.0,1.14659958714,0.0,shopping
,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,banana
0.0,,,,,0.0,2.0,,,,2.0,,2.0,2.0,2.0,2.0,,0.0,,0.0,,,2.0,,0.0,0.0,2.0,2.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,2.0,,2.0,,2.0,,,2.0,,,,,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,,0.0,,,,2.0,2.0,0.0,,0.0,2.0,,,0.0,,,0.0,0.0,2.0,SAM-E
,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,2.0,,,,0.0,,2.0,,,,,,,,,,,,,,ate eggs
2.0,0.0,2.0,0.0,0.0,2.0,,,,0.0,,,,,2.0,2.0,,,,2.0,,0.0,,,,,,,,,2.0,,2.0,,0.0,,,,2.0,,,2.0,,2.0,2.0,,,,,,,,2.0,,,,,0.0,,,2.0,,,,2.0,,,,,,,0.0,,2.0,,,,2.0,,very active aqua class
2.0,2.0,,,,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,0.0,0.0,2.0,,2.0,0.0,,0.0,2.0,0.0,,2.0,2.0,0.0,Superlong nap
2.0,,,,,2.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,2.0,,,,0.0,0.0,2.0,,2.0,0.0,,,2.0,,,2.0,2.0,0.0,Cider
,2.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,Mixed nuts snack
0.0,2.0,0.0,2.0,2.0,0.0,,,,2.0,,,,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,0.0,,0.0,,2.0,,,,0.0,,,0.0,,0.0,0.0,,,,2.0,,,,,,,,,2.0,,,0.0,,,,0.0,,,,,,,2.0,,0.0,,,,0.0,,TigerBalm
,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,exercised
,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,2.0,,,,0.0,,2.0,,,,,,,,,,,,,,ate dairy
2.0,,,,,2.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,2.0,,,,0.0,0.0,2.0,,2.0,0.0,,,2.0,,,2.0,2.0,0.0,went to bed too late
2.0,,,,,2.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,2.0,,,,0.0,0.0,2.0,,2.0,0.0,,,2.0,,,2.0,2.0,0.0,Much sex
1.98349353387,0.0,2.0,0.0,0.0,1.99429528757,0.0,,,0.0,0.0,,0.0,0.0,1.46577047501,1.34968585997,,2.0,,1.99249684948,,0.0,0.0,,2.0,2.0,0.0,0.0,,0.0,1.99102838706,2.0,2.0,2.0,0.531503809476,,2.0,0.0,2.0,0.0,,1.47876850264,,2.0,0.733551181121,,2.0,,0.0,0.0,0.0,,2.0,,,0.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,1.99249684948,,,2.0,1.99249684948,0.0,scary new shit
2.0,,,,,2.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,,2.0,,,,0.0,0.0,2.0,,2.0,0.0,,,2.0,,,2.0,2.0,0.0,Social
2.0,,,,,2.0,0.0,,2.0,,0.0,,0.0,0.0,0.0,0.0,,2.0,,2.0,2.0,,0.0,,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,,2.0,0.0,0.0,2.0,0.0,,0.0,,0.0,2.0,,0.0,,2.0,2.0,,0.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,0.0295417930429,0.0,2.0,,2.0,0.0,,,2.0,,,2.0,2.0,0.0,worked
0.0,2.0,0.0,2.0,2.0,0.0,,,,2.0,,,,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,0.0,,0.0,,2.0,,,,0.0,,,0.0,,0.0,0.0,,,,2.0,,,,0.0,,,,,2.0,,,,,,,0.0,,,,,,,2.0,,0.0,,,,0.0,,day at home
0.0,,,,,0.0,2.0,,,,2.0,,2.0,2.0,2.0,2.0,,0.0,,0.0,,,2.0,,0.0,0.0,2.0,2.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,2.0,,2.0,,2.0,,,2.0,,0.0,,,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,0.0,,0.0,2.0,,,0.0,,,0.0,0.0,2.0,Cetraben cream
,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,maple syrup
,2.0,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,0.0,,,,,2.0,,,,,,2.0,,,,,,,0.0,,0.0,,,,,slept in
0.0,2.0,0.0,2.0,2.0,0.0,,,,2.0,,,,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,0.0,,0.0,,2.0,,,,0.0,,,0.0,,0.0,0.0,,,,2.0,,,,0.0,,,,,2.0,,,0.0,,,,,,,,,,,2.0,,0.0,,,,0.0,,long shopping  trip
2.0,,,,,2.0,0.0,,2.0,,0.0,,0.0,0.0,0.0,0.0,,2.0,,2.0,2.0,,0.0,,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,,2.0,0.0,0.0,2.0,0.0,,0.0,,0.0,2.0,,0.0,,2.0,2.0,,0.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,0.0295417930429,,2.0,,2.0,,,0.0,2.0,,2.0,0.0,,,2.0,,,2.0,2.0,0.0,walked
2.0,,,,,2.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,2.0,,,,0.0,,2.0,,2.0,0.0,,,2.0,,,2.0,2.0,0.0,Cinema
0.0,,,,,0.0,2.0,,,,2.0,,2.0,2.0,2.0,2.0,,0.0,,0.0,,,2.0,,0.0,0.0,2.0,2.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,2.0,,2.0,,2.0,,,2.0,,0.0,,,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,,0.0,,,,2.0,2.0,,,0.0,2.0,,,0.0,,,0.0,0.0,2.0,Guarana & Ginseng
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eating out
0.0,,,,,0.0,2.0,,,,2.0,,2.0,2.0,2.0,2.0,,0.0,,0.0,,,2.0,,0.0,0.0,2.0,2.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,2.0,,2.0,,2.0,,,2.0,,0.0,,,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,,0.0,,,,2.0,2.0,0.0,,,2.0,,,0.0,,,0.0,0.0,2.0,Ginger
