,,,,,0.0,,,,,,2.0,,,0.0,,,,0.0,,,,,2.0,,,,,,,,,,,,0.0,2.0,,0.0,,,,,0.0,,,,,,,,,2.0,,0.0,2.0,,,,0.0,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,2.0,0.0,,2.0,,Aspirin
,,,2.0,0.0,,,,,,2.0,2.0,,,0.0,0.0,,,0.0,,,,,2.0,,,,,,,,,,,2.0,0.0,2.0,,0.0,,,0.0,,0.0,,,,,,,,,2.0,,0.0,2.0,,,,0.0,0.0,2.0,,,0.0,,,,,,,0.0,2.0,2.0,0.0,,,,,,,,,,2.0,,,0.0,,,,0.0,2.0,,2.0,2.0,2.0,,,,,,0.0,2.0,,,,0.0,,,,2.0,0.0,,2.0,,dairy
,,,0.0,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,0.0,0.0,2.0,,,,,,,,,,,,,,,,,2.0,0.0,,0.0,0.0,,,,,,,2.0,,,,,2.0,,,,,,,,,ate badly
,,,,2.0,2.0,,,,,,,,,2.0,,,,2.0,,,,,0.0,,,,,,,,,,,,2.0,0.0,,2.0,,,,,2.0,,,,,,,,,0.0,,2.0,0.0,,,,2.0,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,2.0,,0.0,,Cat
2.0,,,,,,0.0,0.978903501476,0.0,0.0,,,,2.0,,,0.90685951314,0.0,,1.03862197653,0.0,2.0,2.0,,0.0,2.0,2.0,0.978903501476,0.90685951314,2.0,2.0,2.0,0.0,2.0,,,,0.978903501476,,0.978903501476,1.1782325277,,1.80841433719,,2.0,0.0,1.03862197653,0.0,0.978903501476,0.0,,,,2.0,,,0.0,2.0,1.99869200088,,,,0.0,0.0,,0.0,0.0,,2.0,0.0,,,,,,2.0,2.0,0.978903501476,,,0.0,2.0,0.0,0.0,,0.0,2.0,2.0,0.978903501476,0.978903501476,0.978903501476,,,2.0,,,,,0.418055191233,,0.0,0.978903501476,,,0.0,0.0,0.978903501476,2.0,0.0,2.0,2.0,,,0.978903501476,,,did some homework
0.0,,,,,,,0.0,2.0,,,,2.0,,,,0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,2.0,,0.0,,0.0,2.0,0.0,2.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,2.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,2.0,,,0.0,,,,2.0,0.0,,2.0,0.0,0.0,,,0.0,,,THC
,,,,0.0,0.0,,,,,,2.0,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,0.0,2.0,,0.0,,,,,0.0,,,,,,,,,2.0,,0.0,2.0,,,,0.0,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,2.0,0.0,,2.0,,Cambia
,,,2.0,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,2.0,2.0,0.0,,,,,,,,,,,,,,,,,0.0,2.0,,2.0,2.0,,,,,,,0.0,,,,,0.0,,,,,,,,,Swimming
0.0,,,,,,0.0,0.00260367374404,2.0,0.0,,,0.90685951314,0.0,,,,0.0,,0.00868715667984,0.0,0.0,0.0,,0.0,2.0,0.0,0.00260367374404,0.0,0.0,0.0,2.0,0.0,0.0,,,,0.00260367374404,,0.00260367374404,1.99631164109,,0.48924097738,,0.0,2.0,0.00868715667984,2.0,0.00260367374404,0.0,,,,0.0,,,0.0,2.0,1.14392649786,,,,0.0,0.0,,0.0,0.0,,2.0,0.0,,,,,,0.0,2.0,0.00260367374404,,,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.00260367374404,0.00260367374404,0.00260367374404,,,0.0,,,,,1.75549053732,,0.0,0.00260367374404,,,0.0,2.0,0.00260367374404,2.0,2.0,0.0,0.0,,,0.00260367374404,,,Allegra
,,,,,,0.0,0.0,,0.0,,,0.0,,,,0.0,,,0.0,0.0,,,,0.0,2.0,,0.0,0.0,,,2.0,0.0,,,,,0.0,,0.0,2.0,,2.0,,,,0.0,,0.0,0.0,,,,,,,0.0,2.0,2.0,,,,0.0,0.0,,0.0,0.0,,2.0,0.0,,,,,,,2.0,0.0,,,0.0,,0.0,0.0,,,,2.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,2.0,,,,,,0.0,,,Goth clubbing
,,,,0.0,0.0,,,,,,2.0,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,0.0,2.0,,0.0,,,,,0.0,,,,,,,,,2.0,,0.0,2.0,,,,0.0,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,2.0,0.0,,2.0,,home alone
0.0,,,,,,0.0,0.00178328518438,2.0,0.0,,,1.03862197653,0.0,,,0.00868715667984,0.0,,,0.0,0.0,0.0,,0.0,2.0,0.0,0.00178328518438,0.00868715667984,0.0,0.0,2.0,0.0,0.0,,,,0.00178328518438,,0.00178328518438,1.97637054432,,0.380602763514,,0.0,2.0,-2.22044604925e-16,2.0,0.00178328518438,0.0,,,,0.0,,,0.0,2.0,1.01252049489,,,,0.0,0.0,,0.0,0.0,,2.0,0.0,,,,,,0.0,2.0,0.00178328518438,,,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.00178328518438,0.00178328518438,0.00178328518438,,,0.0,,,,,1.83509738609,,0.0,0.00178328518438,,,0.0,2.0,0.00178328518438,2.0,2.0,0.0,0.0,,,0.00178328518438,,,Fish oil
