Dicyclomine,Tretinoin,picnic,no breakfast,Zantac,Phyical Therapy - stretches,IVIG,Osteopathy,exercise,Pantoprazole,ironing,Went out on date,drank wine,Metformin,physical therapy,lots of desk work,Fexofenadine,Vitamin D3,Relaxing,cooked breakfast,skipped meals,travel,Clinda-derm,vacation,severe pain,lift x2,excedrin migraine,Lazy day,Achy breaky rub,Psyllium husk,worked in garden,broken sleep,banana,bbq,studied,Enada,laundry,exercised,Ligament Restore,slept >12 hrs,scary new shit,Progesterone,Vitamin B,soy or tofu main dish eaten,ate salsa,Tranexamic acid,long walk,Cod liver oil,allergy shot,Daytime nap,buses,crafting,Medication,Gardening,slimfast,home alone,shopping,Zomig,not great sleep,Soy Sauce,Montelukast,no sleep,new environment,chicken wild rice soup,bubble and squeak roast,bone broth,cake,bed day,Corticosteroids,soft drink,pasta and veggies,row
0.0,0.0,2.0,2.0,,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,,,0.0,0.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,,2.0,0.0,2.0,,Clinda-derm
0.0,0.0,2.0,2.0,,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,,0.0,,0.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,,2.0,0.0,2.0,,vacation
0.0,0.0,2.0,2.0,,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,,0.0,0.0,,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,,2.0,0.0,2.0,,severe pain
2.0,2.0,0.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,lift x2
0.0,0.0,2.0,2.0,,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,,2.0,0.0,2.0,,excedrin migraine
2.0,2.0,0.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,Lazy day
2.0,2.0,0.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,Achy breaky rub
,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,2.0,,,,2.0,Psyllium husk
2.0,2.0,0.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,worked in garden
2.0,2.0,0.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,broken sleep
2.0,2.0,0.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,banana
0.0,0.0,2.0,2.0,,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,,2.0,0.0,2.0,,bbq
2.0,2.0,0.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,studied
0.0,0.0,2.0,2.0,,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,,2.0,0.0,2.0,,Enada
2.0,2.0,0.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,laundry
2.0,2.0,0.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,exercised
,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,2.0,,,,2.0,Ligament Restore
2.0,2.0,0.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,slept >12 hrs
2.0,2.0,0.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,scary new shit
2.0,2.0,0.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,Progesterone
