suicidal,Women's probiotic,way off the diet train! :(,Jarred back in wheelchair,Knackered,PMDD,dinner with friends,work + times square,fascial stretch therapy,felt blamed,fat,day at home,grilled cheese,Charlotte,Kalb,loneliness,think i miiiiiiight have recovered from christmas,Standing desk,tired,Bicarb on scalp,foccacia,No sleep at all,bike ride,sick leave,deep massage,Charcoal,Pataday,new job,exercise,melancholy,Off work,funeral,black tea,vomiting,raspberries,packing,linseed,not forgetful,Cleaning ,slept in,Nortriptyline,studied,jeff gone,stressed,got the job!,had a 21 hour sleep last night,intense bowel movements,hiking,Vyvanse,day after weights,played computer,had sex,Eyebright Complex,family time,JBR Launch ,singing,aerial hoop,ovulating,nauseated,Creatine,positive,more orientation,weeping,Foggy,catered food,flat,time with friends ,food shop,might still be on the adrenaline run from christmas,grief,missed dinner,doctor appointment,feeling sick,Alcohol previous night,"very, very tired",7k steps,lots of gas,High temperature,cutting weight,jet lag,Migraine Diet,flu jab,stressful day,registrar's letter,tired afternoon,miserable ,Christmas,non-verbal,travel,Tiring,Daily walk,argument with claire,saw friends,no lunch,romantic anxiety,pizza,eyes hurt,Nasonex,vegan,"good times with friends, but bad times with food",Tian Ma Tou Tong - headache,Stayed on diet,Ondansetron,flu shot,chiropractic,Stressed ,ate cheese-again,Blue,tramadol,floravit iron,farm work,pur-absorb iron,overdid it,Rain,strange,acupuncture,canned vegetable beef soup,fast food,still tired,good nights sleep,chuck's funeral,wanted to self injure,jetlag,Panamax,sore throat,bread,got drunk,decorated a cake,ate HORRIBLY over the weekend,migraine in evening,Sad,12K Steps,Nutrasea Fish Oil,Went to work,unproductive,gaming,alcohol,Zofran,dr appointment,training sucked,must have needed it,Vitamin B complex - 50,posted story,grapes,Spironolactone,Sleeping pills ,hot and humid outside,abdominal pain after sex,Amtiriptyline earlier,ibs issues,Ventolin,cheese,Contraceptive pill,Bu Zhong Yi Qi capsules,fun at work,Adderall,Regular Day,cobb salad,feeling a burden,Sat in lounge all day,Played computer games ,language learning ,binge eating,painful,headache,job offer,wee to QE,time with husband,Mirtazapine,Chris round,anxiety,anaphylactic shock,depressed,boring,walked dog,smoked last night,cravings,good mental day,new job tomorrow,social anxiety,marijuana,day off,deadlifts,big sleep,training at work,tight throat,ate rice,Personal Record,bit of a better day,eggs,Gan Mao Qing anti-viral,lifting things,ate breakfast,new job!,proud,good sleep,tooth ache,pineapple,Normal work day,ugh,Stayed at home,saw a movie,Anna,skipped strattera,Prednisone,MDMA,dry eye,Buspirone,super tired from last night,DLPA,Big storm,ate tomatoes,Colouring,hyper japan,overeating,first day on the job,ate corn today,small group,clarytin works better than store brand,On feet,withdrawal,powerlifting,Moms birthday,slept 7 hours,slept all day,first day of work,midcycle,hypersexual,Turmeric tea,Dexedrine,nope,yardwork,Inderal,Vitamin C,Vitamin B,Probiotics,jog,Pain management,fulfilled,Vitamin a,Vitamin d,peanut butter,first full day at work,Had to leave work,saw Chris,vascular consultant,Clonazepam,Sewing,DONE being addicted to food,"ate tomatoes, rice, cheese and wine this weekend (wine Fri) all others today",hopefully a long sleep tonight will end it anyway,Bloated,Psychotherapy ,nre,Zoladex,Guilt,Multivitamin,saw a friend,loved work!,volunteer,noise sensitivity,Went climbing,Ibuprofen,left the house,romantic rejection,blah,dizzy,reading and relaxing,aches,Ecural,too much information meant i couldn't sleep,heartbreak,Valerian,High temperarure,breakdown,less caffeine,social,Codeine,deja vu,bullying,Voltaren,Iron,stomach pain,catheter,Spoke to parents ,Ferrous sulfate,Wei Te Ling - heartburn,hyperventilation,Gui Pi Pills,better mood too,Multi-vitamin,sleepy,Guilt ,Aching ,Soluble Aspirin,no dinner,Turmeric,Good morning,Post flare,Kirkland Fish Oil,emotional day,failed lift,Physiotherapy,Magnesium,unpleasant pooh,intentional living,went to library,Dog had seizures,worked in studio,physiotherapy,come down,in pain,urine infection,had therapy,lara bars are BAD,Valdoxan,saw doctor,scared,Fentanyl,Poorly ,food hangover,heartache,Yin Chiao,no sleep,Turned compost,ate rice last night,Low-FODMAP diet,Flare,Superlong nap,zombie,caved on dairy again,ate salsa,group meeting,Busy yesterday,computer game,respiratory infection,bad pain day,swimming,pissed off,Nauseated ,Omeprazole,Magnesium gel,weepy,unfocused,frustration,bored,play reading,happy,had coffee,Morphine,gluten,bit hard to tell though,SAD light,relaxed,job interview,Valium,rejection,asked for help,tingly throat,social gathering,Symptoms made worse by activity,emotional,body aches,Knackered ,bike accident,Hungry ,exhausted,Inolaxol,night energy,empty reservoir,Lithium,Iberogast,couldn't sleep because homework,yoga,chinese takeout,Wei Zhang Shun Qi Wan,back home,good conversation,sick,thirsty,Up late,tiring day at work,Progesterone,healthcare assessment,no work,Sugar reaction,bath with epsom salt,Lots of work,walked,Montelukast,stayed up late,row
,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,2.0,,0.0,,,0.0,,,,2.0,,,,,,,,,,0.0,,,,0.0,2.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,saw friends
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,no lunch
,2.0,,,,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,0.0,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,,,,0.0,,0.0,,2.0,0.0,,,,,,0.0,,,,0.0,,,,,,2.0,0.0,,2.0,,2.0,,0.0,0.0,,,0.0,2.0,,2.0,0.0,,,0.0,,,,0.0,,0.0,0.0,2.0,,,0.0,0.0,,,0.0,,2.0,,0.0,,0.0,2.0,,0.0,,2.0,,,2.0,,,,0.0,0.0,2.0,,,2.0,,,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,2.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,2.0,,,,,2.0,2.0,,,2.0,,2.0,2.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,,2.0,2.0,0.0,2.0,,,,0.0,,2.0,0.0,,,,2.0,,0.0,2.0,2.0,,,,,,0.0,0.0,,0.0,,,2.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,2.0,,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,2.0,,,0.0,,,0.0,,,,,,2.0,0.0,,0.0,,,,,,romantic anxiety
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,pizza
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eyes hurt
,0.0,,,,2.0,,,2.0,2.0,2.0,,,,,2.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,0.0,,,,,,,2.0,,,,,0.0,,2.0,2.0,0.0,,,,2.0,2.0,,2.0,2.0,,2.0,2.0,,,,2.0,,,2.0,,,,,,2.0,,2.0,,0.0,2.0,,,,,,2.0,,,,2.0,,,2.0,,,,2.0,,0.0,,0.0,,2.0,2.0,,,2.0,0.0,,0.0,2.0,,,2.0,,,,2.0,,2.0,2.0,0.0,,,2.0,2.0,,,2.0,,0.0,,2.0,,2.0,0.0,,2.0,,0.0,,,0.0,,,,2.0,2.0,0.0,,,0.0,,,2.0,2.0,,,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,,,,,2.0,,,2.0,,,2.0,2.0,,2.0,,2.0,,,,,,,2.0,,2.0,,2.0,,,,,,,2.0,2.0,0.0,,0.0,2.0,,,2.0,,,,,2.0,2.0,2.0,2.0,,,,,2.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,,2.0,2.0,2.0,,,,,,2.0,2.0,0.0,2.0,0.0,,,2.0,2.0,2.0,0.0,2.0,2.0,,,,,2.0,,2.0,2.0,,,2.0,2.0,0.0,2.0,2.0,0.0,0.0,,,,0.0,0.0,2.0,0.0,,,,2.0,,0.0,2.0,,,,0.0,,2.0,0.0,0.0,,,,,,2.0,2.0,,2.0,,,0.0,,,,,,2.0,,,2.0,,,,2.0,2.0,,,2.0,,2.0,2.0,,,2.0,,,0.0,,2.0,2.0,,2.0,,,,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,,,,2.0,,,,2.0,2.0,0.0,,,2.0,,,2.0,,,,,,0.0,2.0,,2.0,,,,,,Nasonex
,2.0,,,,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,0.0,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,,,,0.0,,0.0,,2.0,0.0,,,,,,0.0,,,,0.0,,,0.0,,,2.0,,,2.0,,2.0,,0.0,0.0,,,0.0,2.0,,2.0,0.0,,,0.0,,,,0.0,,0.0,0.0,2.0,,,0.0,0.0,,,0.0,,2.0,,0.0,,0.0,2.0,,0.0,,2.0,,,2.0,,,,0.0,0.0,2.0,,,2.0,,,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,2.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,2.0,,,,,2.0,2.0,,,2.0,,2.0,2.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,,2.0,2.0,0.0,2.0,,,,0.0,,2.0,0.0,,,,2.0,,0.0,2.0,2.0,,,,,,0.0,0.0,,0.0,,,2.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,2.0,,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,2.0,,,0.0,,,0.0,,,,,,2.0,0.0,,0.0,,,,,,vegan
,,0.0371771492631,,,,0.0,,,,,,,,,,,,0.00104347148057,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0172790230744,0.00104347148057,0.311400191152,,,,,,,,,0.0172790230744,0.0,0.032606192308,,,,,,0.00468676886538,,,,,0.0615678566015,,,0.000470035465438,,,0.00104347148057,,,,,,,,,,0.00230321929324,,,,,,,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0436600806765,,,,2.0,,,,,,,,,,0.00335146656292,,,,0.00477811316046,2.0,,,0.000984173964389,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,0.0,,,,,,,,,,0.0,,,0.311400191152,,,,,,,,,,0.0,0.0436600806765,,,0.0,,,0.0,,0.0543607547731,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0543607547731,,,0.0,0.000359671064254,0.00256132575443,0.00219254374045,,,,,,,,0.0,0.0,,,,,2.0,,,,,,,2.0,,,,0.00122072291557,,,,,,0.0001126186698,-2.22044604925e-16,,,,,,,,,0.311400191152,,,,,0.0,,,,0.00304383865307,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.000425202170339,,,,,0.00304383865307,,0.0,,,,,,,0.000359671064254,,,,,,0.000984173964389,,,,,0.00256132575443,,,,,0.0068578025929,0.00219309168452,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.000470035465438,,,,,,,,,,,,,,,,2.0,,,,0.00122072291557,,,,,,0.0,,,0.0,"good times with friends, but bad times with food"
,0.0,,,,2.0,,,2.0,2.0,2.0,,,,,2.0,,2.0,1.88413412117,,,,,2.0,,,0.116884280543,2.0,,,,2.0,2.0,2.0,1.37808243135,2.0,0.0,,0.0,,,,,1.88413412117,,,,,0.0,,2.0,2.0,0.0,,,,2.0,2.0,,2.0,2.0,,2.0,2.0,,,,2.0,,,2.0,,,,,,2.0,,2.0,,0.0,2.0,,,,,,2.0,,,0.0,2.0,,,2.0,,,0.0,2.0,,,,0.116884280543,,2.0,2.0,,,2.0,0.000492161384576,,0.0,2.0,,,2.0,,,,2.0,,2.0,2.0,0.0,,,2.0,2.0,,,2.0,,0.0,,2.0,,2.0,0.0,,2.0,,0.0,,,0.0,,,,2.0,2.0,0.0,,,0.0,,,2.0,2.0,,,,2.0,2.0,,,2.0,,2.0,0.116884280543,2.0,,2.0,,,,,2.0,,,2.0,,,2.0,2.0,,2.0,,2.0,,,0.0,,,,2.0,2.0,2.0,,2.0,,,,,,,2.0,2.0,0.0,,0.0,2.0,,,2.0,,,,,2.0,2.0,2.0,2.0,,,,,2.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.116884280543,,,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,0.0,2.0,0.0,,,2.0,2.0,2.0,0.116884280543,2.0,2.0,,,,,2.0,,2.0,2.0,,,2.0,2.0,0.0,2.0,2.0,0.0,0.0,,,2.0,0.0,0.0,2.0,0.0,,,,2.0,,0.0,2.0,0.0,,,0.0,,2.0,0.0,0.116884280543,,,,,,2.0,2.0,,2.0,,,0.0,,,,,,2.0,0.0,,2.0,,,,2.0,2.0,,,2.0,,2.0,2.0,,,2.0,,,0.0,,2.0,2.0,,2.0,,,,1.88311571946,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,,,,2.0,,,,2.0,2.0,0.0,,,2.0,,0.0,2.0,,,,,,0.116884280543,2.0,,2.0,,,,,,Tian Ma Tou Tong - headache
,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,2.0,2.0,,,,,,,,,2.0,2.0,2.0,,,,,,2.0,,,,,2.0,,,2.0,,,2.0,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,2.0,,,,2.0,,,2.0,,,,0.0,,,,,,,,,,2.0,,,,2.0,0.0,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,2.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,2.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,2.0,,,,,,2.0,2.0,,,,,,,,,2.0,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,2.0,,,,,,,2.0,,,,,,2.0,,,,,2.0,,,,,2.0,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,Stayed on diet
,0.0,,,,2.0,,,2.0,2.0,2.0,,,,,2.0,,2.0,1.99999763432,,,,,2.0,,,2.22044604925e-16,2.0,,,,2.0,2.0,2.0,1.7682212796,2.0,0.0,,0.0,,,,,1.99999763432,,,,,0.0,,2.0,2.0,0.0,,,,2.0,2.0,,2.0,2.0,,2.0,2.0,,,,2.0,,,2.0,,,,,,2.0,,2.0,,0.0,2.0,,,,,,2.0,,,0.0,2.0,,,2.0,,,0.0,2.0,,0.116884280543,,,,2.0,2.0,,,2.0,0.102601489293,,0.0,2.0,,,2.0,,,,2.0,,2.0,2.0,0.0,,,2.0,2.0,,,2.0,,0.0,,2.0,,2.0,0.0,,2.0,,0.0,,,0.0,,,,2.0,2.0,0.0,,,0.0,,,2.0,2.0,,,,2.0,2.0,,,2.0,,2.0,2.22044604925e-16,2.0,,2.0,,,,,2.0,,,2.0,,,2.0,2.0,,2.0,,2.0,,,0.0,,,,2.0,2.0,2.0,,2.0,,,,,,,2.0,2.0,0.0,,0.0,2.0,,,2.0,,,,,2.0,2.0,2.0,2.0,,,,,2.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,2.22044604925e-16,,,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,0.0,2.0,0.0,,,2.0,2.0,2.0,2.22044604925e-16,2.0,2.0,,,,,2.0,,2.0,2.0,,,2.0,2.0,0.0,2.0,2.0,0.0,0.0,,,2.0,0.0,0.0,2.0,0.0,,,,2.0,,0.0,2.0,0.0,,,0.0,,2.0,0.0,2.22044604925e-16,,,,,,2.0,2.0,,2.0,,,0.0,,,,,,2.0,0.0,,2.0,,,,2.0,2.0,,,2.0,,2.0,2.0,,,2.0,,,0.0,,2.0,2.0,,2.0,,,,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,,,,2.0,,,,2.0,2.0,0.0,,,2.0,,0.0,2.0,,,,,,3.33066907388e-16,2.0,,2.0,,,,,,Ondansetron
,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,2.0,,,,,0.0,,,,2.0,,,,,,,,,,0.0,,,,0.0,2.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,flu shot
,2.0,,,,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,0.0,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,,,,0.0,,0.0,,2.0,0.0,,,,,,0.0,,,,0.0,,,0.0,,,2.0,0.0,,2.0,,2.0,,,0.0,,,0.0,2.0,,2.0,0.0,,,0.0,,,,0.0,,0.0,0.0,2.0,,,0.0,0.0,,,0.0,,2.0,,0.0,,0.0,2.0,,0.0,,2.0,,,2.0,,,,0.0,0.0,2.0,,,2.0,,,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,2.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,2.0,,,,,2.0,2.0,,,2.0,,2.0,2.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,,2.0,2.0,0.0,2.0,,,,0.0,,2.0,0.0,,,,2.0,,0.0,2.0,2.0,,,,,,0.0,0.0,,0.0,,,2.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,2.0,,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,2.0,,,0.0,,,0.0,,,,,,2.0,0.0,,0.0,,,,,,chiropractic
,2.0,,,,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,0.0,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,,,,0.0,,0.0,,2.0,0.0,,,,,,0.0,,,,0.0,,,0.0,,,2.0,0.0,,2.0,,2.0,,0.0,,,,0.0,2.0,,2.0,0.0,,,0.0,,,,0.0,,0.0,0.0,2.0,,,0.0,0.0,,,0.0,,2.0,,0.0,,0.0,2.0,,0.0,,2.0,,,2.0,,,,0.0,0.0,2.0,,,2.0,,,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,2.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,2.0,,,,,2.0,2.0,,,2.0,,2.0,2.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,,2.0,2.0,0.0,2.0,,,,0.0,,2.0,0.0,,,,2.0,,0.0,2.0,2.0,,,,,,0.0,0.0,,0.0,,,2.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,2.0,,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,2.0,,,0.0,,,0.0,,,,,,2.0,0.0,,0.0,,,,,,Stressed 
,,0.000265729373756,,,,0.0,,,,,,,,,,,,0.0313102954901,,,,,,,,,,,,,,,,,,,0.0,,,,,0.114279412882,0.0313102954901,0.553391973198,,,,,,,,,0.114279412882,0.0,0.148864565222,,,,,,0.0198799747735,,,,,0.00157583416751,,,0.0351498896238,,,0.0313102954901,,,,,,,,,,0.0656869953043,,,,,,,,,,0.0,,,,,,,0.0436600806765,,2.0,,0.0,,,,,,,2.0,,,,,,,,,,0.0229578035165,,,,0.0196939000596,2.0,,,0.0575643737729,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,0.0,,,,,,,,,,0.0,,,0.553391973198,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,,0.000600460284459,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.000600460284459,,,0.0,0.0361662675734,0.0252053783121,0.026414274511,,,,,,,,0.0,0.0,,,,,2.0,,,,,,,2.0,,,,0.0592637899289,,,,,,0.0393817443851,0.0436600806765,,,,,,,,,0.553391973198,,,,,0.0,,,,0.0237854756836,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0525885116459,,,,,0.0237854756836,,0.0,,,,,,,0.0361662675734,,,,,,0.0575643737729,,,,,0.0252053783121,,,,,0.0843869823329,0.0264123843542,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0351498896238,,,,,,,,,,,,,,,,2.0,,,,0.0592637899289,,,,,,0.0,,,0.0,ate cheese-again
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue
