chicken wild rice soup,Phyical Therapy - stretches,Osteopathy,Ambien CR,tumeric extract,busy,excedrin migraine,sugar,Netflix day,normal sleep,Lazy day,Vitamin b complex,8 hours sleep,cuddled kitten,therapy session,siracha,THC,Allegra,Flexeril,Goth clubbing,home alone,shopping,Fish oil,Chocolate after 6pm,Rest,Soy Sauce,Zolmitriptan,Post-op ice device,Corticosteroids,Tretinoin,picnic,bed day,Fentanyl,bacon,drank wine,Butterbur,slept 7 hours,Claritin,Strattera,Relaxing,no sleep,skipped meals,Zofran,Clinda-derm,Hydroxyzine,Synthroid,12 hours sleep,lots of desk work,meds,Dexedrine,broken sleep,exercise,bubble and squeak roast,Superlong nap,Vitamin C,Vitamin B,listen to music ,ate salsa,Daytime nap,Gabapentin,Klonopin,Medication,severe pain,CBD,Zomig,flaxseed and fybogel,Vitamin b12,bed late,Vitamin d,Ice pack,Late lunch,no breakfast,hiking,buses,physical therapy,8.5 hours sleep,slept >12 hrs,acupuncture treatment,Acupuncture,ironing,Metformin,9 hours sleep,spinach,Went out on date,vacation,worked in garden,slept 11 hours,CoQ10,social gathering,Morphine,gluten,crafting,scary new shit,small breakfast,8.75 hours sleep,soy or tofu main dish eaten,Tranexamic acid,slimfast,Gardening,exercised,stool softener,not great sleep,banana,Allergy Shots,bbq,Zinc,Melatonin,soft drink,10.5 hours sleep,Dicyclomine,studied,Alcohol,allergy shot,slept 8 hours!,marijuana,Sunlight,Pantoprazole,birth control,Magnesium glycinate,5-htp,Nasonex,Fexofenadine,cooked breakfast,new environment,eye ointment,lift x2,Ubiquinol,Valerian,Achy breaky rub,did some homework,Famotidine,beach,Benadryl,Enada,laundry,strapping of shoulder,Codeine,Astelin,Progesterone,mass transit,heating pads,Norco,Adderall,popcorn,Singulair,Montelukast,thai food,bone broth,long walk,row
0.0,,2.0,,,0.0,,,,,,,,,,,,,2.0,,0.0,2.0,,,,0.0,2.0,,2.0,2.0,0.0,0.0,,,0.0,0.0,,,,,2.0,0.0,,2.0,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,2.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,2.0,0.0,,0.0,,0.0,,,,,,,2.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,2.0,0.0,,,,,,,,,,,2.0,0.0,0.0,0.0,Lazy day
,,,0.0,2.0,,,,2.0,,,,1.93730606282,0.0,0.0,2.0,0.0,-2.22044604925e-16,,0.0,,2.0,6.66400099374e-05,2.0,0.0,,,0.0,,,,,,2.0,,,2.0,-2.22044604925e-16,-2.22044604925e-16,,,,0.0,,0.0,0.0,2.0,,0.0,,,,,,-2.22044604925e-16,,,,2.0,,0.00151810961213,,,0.0,,2.0,6.66400099374e-05,0.0,-2.22044604925e-16,0.0,,,,,0.0,2.0,,,2.0,,,1.86882363527,,,,,1.99338108679,0.0,2.0,,2.0,0.0,,2.0,2.0,,,,,,0.0,,,0.0,,-2.22044604925e-16,-2.22044604925e-16,,2.0,,,0.0,2.0,2.0,,0.0,,0.0,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,,,,0.0,,,,,1.90746454644,-2.22044604925e-16,,,,2.0,2.0,,-2.22044604925e-16,,2.0,0.0,0.0,,2.0,-2.22044604925e-16,,,,,Vitamin b complex
,,,2.0,0.0,,,,0.0,,,1.93730606282,,2.0,2.0,0.0,2.0,1.93730606282,,2.0,,0.0,1.93322025661,0.0,2.0,,,2.0,,,,,,0.0,,,0.0,1.93730606282,1.93730606282,,,,2.0,,2.0,2.0,0.0,,2.0,,,,,,1.93730606282,,,,0.0,,1.91668700468,,,2.0,,0.0,1.93322025661,2.0,1.93730606282,2.0,,,,,2.0,0.0,,,0.0,,,0.35819986809,,,,,0.108929249845,2.0,0.0,,0.0,2.0,,0.0,0.0,,,,,,2.0,,,2.0,,1.93730606282,1.93730606282,,0.0,,,2.0,0.0,0.0,,2.0,,2.0,1.93730606282,1.93730606282,1.93730606282,,,,2.0,,,,,0.00301006750264,1.93730606282,,,,0.0,0.0,,1.93730606282,,0.0,2.0,2.0,,0.0,1.93730606282,,,,,8 hours sleep
,,,0.0,,,,,,,,0.0,2.0,,,,0.0,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,2.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,0.0,,,,,2.0,,,,,,,2.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,2.0,0.0,,,,,2.0,,0.0,,2.0,0.0,0.0,,,0.0,,,,,cuddled kitten
,,,,2.0,,,,2.0,,,0.0,2.0,,,2.0,,0.0,,0.0,,2.0,0.0,2.0,,,,,,,,,,2.0,,,2.0,0.0,0.0,,,,,,,0.0,2.0,,,,,,,,0.0,,,,2.0,,0.0,,,,,,0.0,,0.0,,,,,,,2.0,,,2.0,,,2.0,,,,,2.0,0.0,2.0,,2.0,0.0,,,2.0,,,,,,,,,0.0,,0.0,0.0,,2.0,,,,2.0,2.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,2.0,0.0,,,,2.0,,,0.0,,,,,,2.0,0.0,,,,,therapy session
,,,,0.0,,,,0.0,,,2.0,0.0,,2.0,,,2.0,,2.0,,0.0,2.0,0.0,,,,,,,,,,0.0,,,0.0,2.0,2.0,,,,,,,2.0,0.0,,,,,,,,2.0,,,,0.0,,2.0,,,,,,2.0,,2.0,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,2.0,0.0,,0.0,2.0,,,0.0,,,,,,,,,2.0,,2.0,2.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,2.0,2.0,,,,,,,,,0.0,2.0,,,,0.0,,,2.0,,,,,,0.0,2.0,,,,,siracha
,,,0.0,,,,,,,,0.0,2.0,0.0,,,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,2.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,0.0,,,,,2.0,,,,,,,2.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,2.0,0.0,,,,,2.0,,0.0,,2.0,0.0,0.0,,,0.0,,,,,THC
,,,0.0,2.0,,,,2.0,,,-2.22044604925e-16,1.93730606282,0.0,0.0,2.0,0.0,,,0.0,,2.0,6.66400099374e-05,2.0,0.0,,,0.0,,,,,,2.0,,,2.0,-2.22044604925e-16,-2.22044604925e-16,,,,0.0,,0.0,0.0,2.0,,0.0,,,,,,-2.22044604925e-16,,,,2.0,,0.00151810961213,,,0.0,,2.0,6.66400099374e-05,0.0,-2.22044604925e-16,0.0,,,,,0.0,2.0,,,2.0,,,1.86882363527,,,,,1.99338108679,0.0,2.0,,2.0,0.0,,2.0,2.0,,,,,,0.0,,,0.0,,-2.22044604925e-16,-2.22044604925e-16,,2.0,,,0.0,2.0,2.0,,0.0,,0.0,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,,,,0.0,,,,,1.90746454644,-2.22044604925e-16,,,,2.0,2.0,,-2.22044604925e-16,,2.0,0.0,0.0,,2.0,-2.22044604925e-16,,,,,Allegra
2.0,,0.0,,,2.0,,,,,2.0,,,,,,,,,,2.0,0.0,,,,2.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,2.0,,,,,0.0,2.0,,0.0,,,,2.0,,,,2.0,2.0,,,,,2.0,2.0,,,,2.0,,,,,,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,,,,2.0,2.0,2.0,,,,,,2.0,2.0,,,0.0,,2.0,2.0,2.0,,2.0,2.0,,2.0,,,2.0,,0.0,2.0,,2.0,,2.0,,,,,,,0.0,2.0,2.0,,2.0,2.0,2.0,,,,,2.0,0.0,2.0,,,,,,,,,,,0.0,2.0,2.0,2.0,Flexeril
,,,,2.0,,,,2.0,,,0.0,2.0,,0.0,2.0,,0.0,,,,2.0,0.0,2.0,,,,,,,,,,2.0,,,2.0,0.0,0.0,,,,,,,0.0,2.0,,,,,,,,0.0,,,,2.0,,0.0,,,,,,0.0,,0.0,,,,,,,2.0,,,2.0,,,2.0,,,,,2.0,0.0,2.0,,2.0,0.0,,,2.0,,,,,,,,,0.0,,0.0,0.0,,2.0,,,,2.0,2.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,2.0,0.0,,,,2.0,,,0.0,,,,,,2.0,0.0,,,,,Goth clubbing
0.0,,2.0,,,0.0,,,,,0.0,,,,,,,,2.0,,,2.0,,,,0.0,2.0,,2.0,2.0,0.0,0.0,,,0.0,0.0,,,,,2.0,0.0,,2.0,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,2.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,2.0,0.0,,0.0,,0.0,,,,,,,2.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,2.0,0.0,,,,,,,,,,,2.0,0.0,0.0,0.0,home alone
2.0,,0.0,,0.0,2.0,,,0.0,,2.0,2.0,0.0,,2.0,0.0,,2.0,0.0,2.0,2.0,,2.0,0.0,,2.0,0.0,,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,,0.0,,2.0,0.0,2.0,,,,2.0,2.0,,2.0,,,2.0,0.734017473211,,2.0,,2.0,,,,2.0,,1.99860843949,,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,,0.0,1.999944048,2.0,,0.0,0.0,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,,1.8047044827,0.0,2.0,,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,,0.0,2.0,,2.0,0.0,1.83439714359,,,2.0,,,,,,0.0,2.0,0.0,2.0,2.0,2.0,shopping
,,,0.0,2.0,,,,2.0,,,6.66400099374e-05,1.93322025661,0.0,0.0,2.0,0.0,6.66400099374e-05,,0.0,,2.0,,2.0,0.0,,,0.0,,,,,,2.0,,,2.0,6.66400099374e-05,6.66400099374e-05,,,,0.0,,0.0,0.0,2.0,,0.0,,,,,,6.66400099374e-05,,,,2.0,,0.000948765824099,,,0.0,,2.0,-2.22044604925e-16,0.0,6.66400099374e-05,0.0,,,,,0.0,2.0,,,2.0,,,1.87448167135,,,,,1.99464094977,0.0,2.0,,2.0,0.0,,2.0,2.0,,,,,,0.0,,,0.0,,6.66400099374e-05,6.66400099374e-05,,2.0,,,0.0,2.0,2.0,,0.0,,0.0,6.66400099374e-05,6.66400099374e-05,6.66400099374e-05,,,,0.0,,,,,1.9025538958,6.66400099374e-05,,,,2.0,2.0,,6.66400099374e-05,,2.0,0.0,0.0,,2.0,6.66400099374e-05,,,,,Fish oil
,,,,0.0,,,,0.0,,,2.0,0.0,,2.0,0.0,,2.0,,2.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,2.0,2.0,,,,,,,2.0,0.0,,,,,,,,2.0,,,,0.0,,2.0,,,,,,2.0,,2.0,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,2.0,0.0,,0.0,2.0,,,0.0,,,,,,,,,2.0,,2.0,2.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,2.0,2.0,,,,,,,,,0.0,2.0,,,,0.0,,,2.0,,,,,,0.0,2.0,,,,,Chocolate after 6pm
,,,0.0,,,,,,,,0.0,2.0,0.0,,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,2.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,0.0,,,,,2.0,,,,,,,2.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,2.0,0.0,,,,,2.0,,0.0,,2.0,0.0,0.0,,,0.0,,,,,Rest
0.0,,2.0,,,0.0,,,,,0.0,,,,,,,,2.0,,0.0,2.0,,,,,2.0,,2.0,2.0,0.0,0.0,,,0.0,0.0,,,,,2.0,0.0,,2.0,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,2.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,2.0,0.0,,0.0,,0.0,,,,,,,2.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,2.0,0.0,,,,,,,,,,,2.0,0.0,0.0,0.0,Soy Sauce
