Codeine-Panadol,Alcohol,physical therapy,Sunlight,Zoladex,Iron,Spironolactone,Ambien CR,Magnesium glycinate,5-htp,Nasonex,Claritin,Strattera,eye drops,Zofran,Hydroxyzine,Vitamin a,eye ointment,Buspirone,meds,Famotidine,Aspirin,Vitamin b complex,strapping of shoulder,Ventolin,Antihistamine,Codeine,Astelin,Vitamin C,Vitamin B,Temazepam,heating pads,eye compress,Norco,Flutiform,Boswelia Complex,THC,pool,Allegra,Klonopin,CBD,Singulair,Fish oil,stool softener,Rest,Vitamin b12,Post-op ice device,Zinc,Vitamin d,Ice pack,Probiotics,Melatonin,Magnesium,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Codeine-Panadol
,2.0,2.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,,0.0,2.0,,,,0.0,0.0,,,2.0,2.0,2.0,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,,Famotidine
,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,Aspirin
,2.0,2.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,,,2.0,,,,0.0,0.0,,,2.0,2.0,2.0,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,,Vitamin b complex
,0.0,0.0,2.0,,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,,2.0,,,,,2.0,2.0,,,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,2.0,,strapping of shoulder
,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,Ventolin
,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,Antihistamine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Codeine
,2.0,2.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,,0.0,2.0,,,,,0.0,,,2.0,2.0,2.0,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,,Astelin
,2.0,2.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,,0.0,2.0,,,,0.0,,,,2.0,2.0,2.0,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,,Vitamin C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temazepam
,0.0,0.0,2.0,,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,,2.0,0.0,,,,2.0,2.0,,,,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,2.0,,heating pads
,0.0,0.0,2.0,,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,,2.0,0.0,,,,2.0,2.0,,,0.0,,0.0,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,2.0,,eye compress
,0.0,0.0,2.0,,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,,2.0,0.0,,,,2.0,2.0,,,0.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,2.0,,Norco
,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flutiform
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boswelia Complex
,2.0,2.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,,0.0,2.0,,,,0.0,0.0,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,,THC
,0.0,0.0,2.0,,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,,2.0,0.0,,,,2.0,2.0,,,0.0,0.0,0.0,,,2.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,2.0,,pool
,0.0,0.0,2.0,,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,,2.0,0.0,,,,2.0,2.0,,,0.0,0.0,0.0,,,2.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,2.0,,Allegra
,0.0,0.0,2.0,,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,,2.0,0.0,,,,2.0,2.0,,,0.0,0.0,0.0,,,2.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,2.0,,Klonopin
,0.0,0.0,2.0,,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,,2.0,0.0,,,,2.0,2.0,,,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,2.0,,CBD
,2.0,2.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,,0.0,2.0,,,,0.0,0.0,,,2.0,2.0,2.0,,,0.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,,Singulair
,2.0,2.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,,0.0,2.0,,,,0.0,0.0,,,2.0,2.0,2.0,,,0.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,,Fish oil
,0.0,0.0,2.0,,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,,2.0,0.0,,,,2.0,2.0,,,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,2.0,0.0,2.0,2.0,0.0,,2.0,,stool softener
,0.0,0.0,2.0,,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,,2.0,0.0,,,,2.0,2.0,,,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,2.0,0.0,2.0,2.0,0.0,,2.0,,Rest
,2.0,2.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,,0.0,2.0,,,,0.0,0.0,,,2.0,2.0,2.0,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,0.0,0.0,2.0,,0.0,,Vitamin b12
,0.0,0.0,2.0,,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,,2.0,0.0,,,,2.0,2.0,,,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,,2.0,2.0,0.0,,2.0,,Post-op ice device
,2.0,2.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,,0.0,2.0,,,,0.0,0.0,,,2.0,2.0,2.0,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,2.0,,0.0,,Zinc
,2.0,2.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,,0.0,2.0,,,,0.0,0.0,,,2.0,2.0,2.0,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,2.0,,0.0,,Vitamin d
,0.0,0.0,2.0,,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,,2.0,0.0,,,,2.0,2.0,,,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,,,2.0,,Ice pack
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Probiotics
,2.0,2.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,,0.0,2.0,,,,0.0,0.0,,,2.0,2.0,2.0,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,,,Melatonin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium
