little sleep,walking,unproductive,hiking,sore shoulder,sleepy,Hot,college,Children's Museum,bad headache day,stressed 2,ate breakfast,tough long run,sharp nerve pain,productive,nauseated,recouperating from eating too much sugar,out of the house,socialization,cleansing,content,Foggy,bored,exercise,happy,long run,drink,pain,yardwork,very productive,3 hour nap,relaxed,Superlong nap,Bad sleep,free,physio,awake,rain,drive to balt,bad lunch,worked,no work,neck massage,barometric pressure change,good sleep,benadryl ,aura migraine,fulfilled,weightlifting,determined,stressed,aftereffects,focused,low productivity,Stress 2,row
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,,2.0,,,2.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,out of the house
2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,,2.0,2.0,,,,0.0,2.0,,,2.0,2.0,,2.0,,2.0,2.0,2.0,,,,,,2.0,2.0,,2.0,,2.0,2.0,,,,,,2.0,,,,2.0,socialization
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,cleansing
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,content
2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,,2.0,2.0,0.0,,,,2.0,,,2.0,2.0,,2.0,,2.0,2.0,2.0,,,,,,2.0,2.0,,2.0,,2.0,2.0,,,,,,2.0,,,,2.0,Foggy
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,2.0,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,bored
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,exercise
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,happy
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,2.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,long run
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,2.0,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,drink
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,pain
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,yardwork
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,very productive
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,3 hour nap
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22044604925e-16,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22044604925e-16,0.0,0.0,0.0,0.0,2.0,1.11022302463e-16,0.0,2.0,0.0,0.0,relaxed
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,Superlong nap
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,Bad sleep
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,free
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,physio
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,awake
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,rain
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,drive to balt
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,bad lunch
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,worked
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,,,,0.0,no work
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,neck massage
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,0.0,barometric pressure change
0.0,2.22044604925e-16,0.0,0.0,0.0,2.22044604925e-16,0.0,0.0,0.0,0.0,0.0,2.22044604925e-16,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22044604925e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.11022302463e-16,0.0,2.0,0.0,0.0,good sleep
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,benadryl 
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,aura migraine
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,,fulfilled
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,0.0,,weightlifting
,2.0,2.0,,2.0,2.0,,,,,,2.0,,,0.0,2.0,,,,2.0,2.0,,,2.0,2.0,,,2.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,,determined
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,stressed
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,2.0,0.0,,aftereffects
,2.0,2.0,,2.0,2.0,,,,,,2.0,,,0.0,2.0,,,,2.0,2.0,,,2.0,2.0,,,2.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,,focused
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,,low productivity
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,,Stress 2
