Viibryd,Vitamins,Caffeine,Midodrine,Ambien CR,Miralax low dose at night,anti-diarrhea med,ponstan,Mt. Si ACDC 2x Coco Caps,therapy session,skipped lunch,TigerBalm,psychologist,Dandelion tea,Slept a lot,Rest,laxatives,Standing desk,cocodamol,Ritalin,Language Learning,Bicarb on scalp,Human Growth Hormone,Solifenacin,Charcoal,Claritin,Read comics,Methylphenidate,Vitamin,creative writing,exercise,Tetralabs Gold Caps CBN,Buffered Salmon Oil - DHA - EPA,Quiet,linseed,5 or more portions of fruit and veg,eye drops,Meditation,slept in,CBD,CuraMed,Nortriptyline,Ginger,digestive enzyme,Ice pack,Prednesone,massage,Lamictal,Diazepam,Yoga,Didn't shower,Lying flat,Levothyroxine,tavel,Diphenhydramine,Ribose,Dermatologist,Deep Breathing,SAM-E,Trigger Points,Calcium citrate,eye compress,Celebrex,rebounding,Noritriptyline,MMJ,Melatonin,LUSH acne spot-treatment,ate dinner,TENS Unit,Wear shoulder brace,Migraine Diet,Went to the store,Magnesium glycinate,B12 timed release,use exercise bike,eye ointment,Daily walk,Excedrin,Fruit,elliptical,Famotidine,Topical ibuprofen,Enada,Wore arch supports all day,Astelin,Essential oils,heating pads,Norco,Metoprolol,Azathioprine,Iodine,Athlete Vitamin,Pristiq,Ex bike,Cycling,Fluvoxamine,Fluids,Osteopathy,Naproxen,Toprol,Amitriptyline,tumeric extract,pur-absorb iron,gluten free,Vitamin D3,Esopram,Risperidone,Lavender oil,Cambia,N-acetyl cysteine,holiday,coffee,Methylcobalamine,Colpermin,Weighted Blanket,Steps,Tetralabs Gold Caps,Turmeric,Flexeril,Veggies,ate meat,Corticosteroids,Prilosec,ice cream,ASMR,Relaxing,Zofran,Clinda-derm,Ropinirole,Tavegyl,Walking,Medication,Farm,Cerelle,Swept,Contraceptive pill,Tretinoin,Albuterol Inhaler,Extra Medications,Exercise,Bentyl,Biosil,Topiramate,Snooze,Valium,Garden of Life Raw Meal,Calcium,Love,Singulair,Ultrasound,Zinc,counselor,Dicyclomine,Alcohol,Imodium,5-htp,Forever Aloe Berry,Rowing machine,Ibuprofen 600mg,Monteluklast,Ubiquinol,Achy breaky rub,Zopiclone,dairy free,Piyo,Pepto-bismol children's,strapping of shoulder,Magnesium citrate,Cetraben cream,neuro,Deep rest,cough syrup,Oxycodone,Paracetamol,Zantac,wear mask,Had candy,Went to a party,Prednisone,mag ox,Buspirone,Plaquenil,hearing aid,Vitamin b complex,Aloe Detox Water,Oxcarbazepine,Moringa,THC,Swimming,Allegra,Goth clubbing,Guarana & Ginseng,electric wheelchair,AOR Zinc-Copper Balance,Lexapro,Medications,gluten free diet,Texted friend,Tyrosine,Strattera,Low oxalate,Synthroid,excedrin migraine,Quell,ate breakfast,Carbomer eye drops,Acetaminophen plus Codeine Number 3,Pet Therapy,Inderal,Vitamin C,Vitamin B,listen to music ,Probiotics,Gabapentin,breathing exercises,Klonopin,Cetirizine,Pain management,Surgical repair of injured shoulder ,Cranberry extract,Coenzyme q-10,Diclofenac,Vitamin e,Vitamin d,Counseling,physical therapy,Sisu B Calm,Physio,Weather- rain,Feverfew,Naltrexone,Paracatamol with codeine,Chiropractic,Headspace,Glucosamine,Multivitamin,Quell Unit,Sertraline,Allergy Shots,Ibuprofen,BeachBody OnDemand,aqua therapy,Selenium,Sunlight,Burbur-Pinella,mountain biking,colofac mr,Nasonex,Protecting back,Ranitidine,Spironolactone,Voltaren,Migraine herb feverfew tablets,Iron,catheter,psychiatrists,dexamphetamine,Freezie wrap,Snacks,Had peach soda,Resrticted diet,drawing,Multi-vitamin,Phyical Therapy - stretches,Cannabis,Aspirin,Trileptal,DEHA,Magnesium malate,Probiotic,Stretching,Megaspore,Dinner,Magnesium,Amitryptiline,Boswelia Complex,playing music,Gaba,Fish oil,Lyrica,Post-op ice device,Inositol,Home physio exercises,Dancing,Aleve,Fentanyl,Aromatherapy,Compression Stockings,Coffee,pilates,Citalopram,Hydroxyzine,meds,SPD alternative treatments,Low-FODMAP diet,Green Vibrance,Epsom Salts,Played Go fish,Recov Bipeptides,Equilibrant,Thyroid-Pro,Zomig,Hydrocortisone,Vitamin b12,Methotrexate,Tolterodine,More stretching,L-methylfolate,Florinef,Omeprazole,Acupuncture,Metformin,sugar free diet,Armodafinil,Therapy,Wellbutrin,CoQ10,Oxynorm,Morphine,alverine,Tranexamic acid,Citrucel,Thyroid-Pro (CanPrev),b12 spray,stool softener,Cabergoline,Ate junk food,Inolaxol,Cyclizine,Light dinner,Pantoprazole,prayer,birth control,Iberogast,Fexofenadine,Darifenacin,Fluoxetine,Medicinal Herbs,Tylenol 3,Exercise--walking,Benadryl,Cefaly Unit,pain relief,Progesterone,Temazepam,Keppra,pool,walked,Montelukast,Medical Marijuana,Took it easy,Sleep,Passionflower,row
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Bicarb on scalp
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human Growth Hormone
,,,,,,,,,,,0.0,,,,,,,,0.488627720123,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.233687211297,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234614295973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.234614295973,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,0.253810563889,,,,,,,2.0,,,,,,,,,,,,,,,,,0.234614295973,Solifenacin
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Charcoal
,,,,0.0,,,,,0.0,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,2.0,0.135027232527,,,,,,,,,,,,,,,0.0,,,,,2.22044604925e-16,,,,,,,2.22044604925e-16,,,0.0,,,,,2.22044604925e-16,,,,2.22044604925e-16,,0.0,0.0,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,1.16146395361,,,,0.0,,,,,,,,,,,,,,,,1.9993459936,,,,,,2.22044604925e-16,,2.22044604925e-16,,,0.0,,2.22044604925e-16,,,,,,,,,,,2.0,,,,,,,,1.16146395361,,,,,,,,,2.22044604925e-16,,,,0.0,,0.0481198973902,2.0,,,,,,,,,0.0481198973902,,0.0,,,,,,,,2.22044604925e-16,,,,,,0.215812043793,,,,,,,,2.22044604925e-16,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,,,2.22044604925e-16,,,1.9993459936,,,,,,,,,,,,,,,,,,,,,,2.0,1.16146395361,,,,,0.00413610978427,,0.0,,,,,,,,,,1.9993459936,0.0,0.0,,,,,,,,,,,0.000191090077519,,,,,,,0.0,,,,,,0.0,,,,,2.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,Claritin
,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,Read comics
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,0.0,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methylphenidate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,creative writing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,exercise
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,Tetralabs Gold Caps CBN
,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,2.0,,,2.0,,,,2.0,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,,0.0,,,2.0,,,,,,,,2.0,0.0,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,Buffered Salmon Oil - DHA - EPA
,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,Quiet
,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,linseed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 or more portions of fruit and veg
,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,eye drops
0.0,0.0,,,,,,,,,,,,,,0.0,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.222608381191,,,,,,,2.0,,0.0,,,0.0,,,,,2.0,,,0.0,,0.695654551267,,,,,2.0,,,,,,,,,,,,2.0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,Meditation
,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,slept in
,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,CBD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CuraMed
,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,Nortriptyline
,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,Ginger
,,,,,,,,,,,0.0,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,digestive enzyme
,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,Ice pack
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,2.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednesone
,0.0,,,,,,,,,,,,,,,,,2.0,,0.0,,,,,0.135027232527,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,0.64442767934,,0.0,,,,,,,0.0,,,,,,,0.0,,,,1.88255311158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64442767934,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.88255311158,,,,,,,,,,,,,,,,,,,,,,2.0,0.64442767934,,,,,0.00684330280285,,,,,,,,,,0.0,,1.88255311158,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,massage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lamictal
