headache,Yoga,JBR,Infusion ,Dallas,prodrome,Happy A,Sunday Funday,Research,Remicade Maintenence,Endo Appt,Back Home ,JBR Launch ,Bactrim,Contemplative ,The Office ,Recent gaming,Mom's Day,Beautiful Day,Family Day,Massage,GR ,OKC ,TCB,apathetic,Volunteer,Stress,lonely,Emma,Dinner with GR,Daveless,Depressed,Flare,Ruptured Cyst,Upset,No Period,New Car!!!,headache free,RA Flare,Rain ,THC,Cleaning ,Janet,Busy Day,Massage ,had sex,Tired,depressed,Lots of work,At Home,Errands,Dinner with Janet,Rest,bad sleep,Montelukast,alcohol,Dinner with Becky,exercise,Ibuprofen,Tuesday,Car Shop,happy,Canadian Bacon,Regular Day,Upped My Glumetza,JBR Meeting ,row
,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,,,,2.0,,,2.0,2.0,,0.0,2.0,2.0,2.0,Contemplative 
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,The Office 
2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,2.0,2.0,,,0.0,,,,,,,0.0,,,,,,2.0,2.0,0.0,,2.0,2.0,,,2.0,,,,,Recent gaming
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Mom's Day
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Beautiful Day
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Family Day
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Massage
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,GR 
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,OKC 
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,TCB
0.0,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,0.0,0.0,,,2.0,,,,,,,2.0,,,,,,0.0,0.0,2.0,,0.0,0.0,,,0.0,,,,,apathetic
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Volunteer
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Stress
2.0,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,2.0,2.0,,,0.0,,,,,,,0.0,,,,,,2.0,2.0,0.0,,2.0,2.0,,,2.0,,,,,lonely
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Emma
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Dinner with GR
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Daveless
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Depressed
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Flare
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Ruptured Cyst
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,Upset
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,No Period
0.0,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,0.0,,,2.0,,,,,,,,,,0.0,,,2.0,,,,,,,2.0,,,,,,0.0,0.0,2.0,,0.0,0.0,,,0.0,,,,,New Car!!!
0.0,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,0.0,,,2.0,,,,,,,,,0.0,,,,2.0,,,,,,,2.0,,,,,,0.0,0.0,2.0,,0.0,0.0,,,0.0,,,,,headache free
