Home physio exercises,Bunny snuggles,family,Cod liver oil,physical therapy,IVIG,snuggles,Prilosec,ironing,long shopping  trip,Osteopathy,sex,Lots of kitty love,cake,Beer,Lots of cleaning,Pantoprazole,aqua therapy,dozed,Went out on date,played video games,Metformin,Lots of travel,ate breakfast,snuggly cat,party,Vitamin D3,Prednisone,trying to clean the house,Citalopram,walked,travel,Zantac,met a new cat,bunny cuddles,cooking,Physio,Topiramate,Psyllium husk,long walk,ponstan,Puppies,drank alcohol,slept late,bbq,Paracatamol with codeine,Ranitidine,exercised,Excedrin,Ligament Restore,very active aqua class,stress,Progesterone,Vitamin B,Migraine herb feverfew tablets,slept in,Magnesium,Tranexamic acid,Bunny cuddles,swimming,Pokemon go,Daytime nap,popcorn,lots of walking,picnic,masturbated,Gardening,Went out on adventures,home alone,went swimming,Lazy day,Zomig,psychologist,not great sleep,worked in garden,climbed stairs,new environment,exercise,Late sleep,Methotrexate,had sex,Multi-vitamin,soft drink,pasta and veggies,Imodium,row
0.0,0.0,2.0,,2.0,,2.0,0.0,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,0.0,,2.0,2.0,0.0,2.0,,2.0,2.0,,,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,2.0,2.0,,0.0,0.0,2.0,,2.0,Osteopathy
2.0,2.0,0.0,,0.0,,0.0,2.0,0.0,0.0,2.0,,0.0,,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,0.0,sex
2.0,2.0,0.0,,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,0.0,Lots of kitty love
,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,cake
2.0,2.0,0.0,,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,0.0,Beer
2.0,2.0,0.0,,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,,2.0,2.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,0.0,Lots of cleaning
0.0,0.0,2.0,,2.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,,0.0,,2.0,2.0,0.0,2.0,,2.0,2.0,,,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,2.0,2.0,,0.0,0.0,2.0,,2.0,Pantoprazole
0.0,0.0,2.0,,2.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,0.0,,,2.0,2.0,0.0,2.0,,2.0,2.0,,,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,2.0,2.0,,0.0,0.0,2.0,,2.0,aqua therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dozed
2.0,2.0,0.0,,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,,,0.0,2.0,0.0,,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,0.0,Went out on date
2.0,2.0,0.0,,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,,0.0,,2.0,0.0,,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,0.0,played video games
0.0,0.0,2.0,,2.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,,2.0,2.0,,2.0,,2.0,2.0,,,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,2.0,2.0,,0.0,0.0,2.0,,2.0,Metformin
2.0,2.0,0.0,,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,,,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,0.0,Lots of travel
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate breakfast
2.0,2.0,0.0,,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,,,0.0,,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,0.0,snuggly cat
2.0,2.0,0.0,,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,,0.0,,,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,0.0,party
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin D3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
2.0,2.0,0.0,,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,0.0,trying to clean the house
0.0,0.0,2.0,,2.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,,2.0,2.0,0.0,2.0,,2.0,2.0,,,2.0,,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,2.0,2.0,,0.0,0.0,2.0,,2.0,Citalopram
0.0,0.0,2.0,,2.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,,2.0,2.0,0.0,2.0,,2.0,2.0,,,2.0,0.0,,2.0,,2.0,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,2.0,2.0,,0.0,0.0,2.0,,2.0,walked
2.0,2.0,0.0,,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,2.0,2.0,,,0.0,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,,0.0,travel
