played video games,vacuuming,hiking,thanksgiving dinner,haircut,hot,almonds,had sex,Pokemon go,Amitriptyline,Cat,flaxseed and fybogel,ate breakfast,Ventolin,Vitamin D3,Solpadeine Max,1 slice of cheese,advil,Singing,Infection,spinach risotto,Physio,ate dairy,dairy,8 hours sleep,treadmill,Solpadol,ate lots,broken sleep,banana,exercise,Cat ,busy,sushi,shopping,BLT,SAD Light Box,Magnesium citrate,Vitamin C,Calcium,pilates,Magnesium,Iron,egg white dlite,ate garlic,1 slice of cheese ,slept in chair,Daytime nap,Wellbutrin,archery,Iodine,doritos,home alone,Cinema,Sertraline,Solpadeine,12 hours sleep,walked,daytime nap,12K Steps,cooked,Vitamin b12,rice noodles,11 hours of sleep,did photography,electric wheelchair,ate a slice of cheese,massage,Ate junk food,row
,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dairy
0.0,,,,,0.0,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,2.0,,,,,,,,,,,2.0,,0.0,0.0,,,0.0,,,,,2.0,,,0.0,2.0,,,,8 hours sleep
,,2.0,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,2.0,2.0,,2.0,,0.0,,,,,,,,,,0.0,2.0,,,,2.0,,,,,,,,,,,,,,2.0,,,2.0,,,treadmill
,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,Solpadol
,,,,,,,0.0,,,,,,,,,,,,,,2.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate lots
,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,0.0,2.0,2.0,,,,,0.0,0.0,,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,0.0,broken sleep
,,0.0,,,,,,,,,,,,,,2.0,0.0,,,,,,,,2.0,,,,,0.0,,0.0,,2.0,,,,,,,,,,2.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,banana
,,0.0,,,,,,,,,,0.0,,,,2.0,0.0,,,,0.0,0.0,,,2.0,,,0.0,0.0,,,0.0,,2.0,,,,,,0.0,2.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,exercise
,2.0,,0.0,0.0,,0.0,,,2.0,0.0,0.0,,,2.0,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,2.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,2.0,,Cat 
,,0.0,,,,,,,,,,,,,,2.0,0.0,,,,,,,,2.0,,,,0.0,0.0,,,,2.0,,,,,,,,,,2.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,busy
,2.0,,0.0,0.0,,0.0,,,2.0,0.0,0.0,,,2.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,,2.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,2.0,,sushi
0.0,,2.0,,,0.0,,0.0,0.0,,,,,,2.0,,0.0,2.0,,,,2.0,,0.0,0.0,0.0,,0.0,,2.0,2.0,,2.0,,,,,2.0,,2.0,,,,,0.0,2.0,,,,2.0,2.0,,0.0,0.0,,,0.0,,,,,2.0,,2.0,0.0,2.0,2.0,,,shopping
,2.0,,0.0,0.0,,0.0,,,2.0,0.0,0.0,,,2.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,,0.0,,2.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,2.0,,BLT
,2.0,,0.0,0.0,,0.0,,,2.0,0.0,0.0,,,2.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,,2.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,2.0,,SAD Light Box
2.0,,,,,2.0,,,2.0,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,0.0,,2.0,2.0,,,2.0,,,,,0.0,,,2.0,0.0,,,,Magnesium citrate
,0.0,,2.0,2.0,,2.0,,,0.0,2.0,2.0,,,0.0,,,,2.0,,2.0,,,,,,,,,,,2.0,,2.0,,2.0,2.0,,,,,,,2.0,,,2.0,,,,,2.0,,,,,,,,,,,2.0,,,,,0.0,,Vitamin C
2.0,,,,,2.0,,,2.0,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,0.0,,2.0,2.0,,,2.0,,,,,0.0,,,2.0,0.0,,,,Calcium
,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,,,,,2.0,2.0,,,,,0.0,0.0,,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,0.0,pilates
,,,,,,,,,,,,2.0,,,,,,,,,2.0,2.0,,,,,,2.0,,2.0,,,,,,,,,,2.0,,0.0,,,,,2.0,2.0,,,,,,2.0,,,2.0,,2.0,2.0,,,,,,,,2.0,Magnesium
,,,,,,,,,,,,2.0,,,,,,,,,2.0,2.0,,,,,,2.0,,2.0,,,,,,,,,,2.0,0.0,,,,,,2.0,2.0,,,,,,2.0,,,2.0,,2.0,2.0,,,,,,,,2.0,Iron
,2.0,,0.0,0.0,,0.0,,,2.0,0.0,0.0,,,2.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,2.0,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,2.0,,egg white dlite
,,2.0,,,,,,,,,,,,,,0.0,2.0,,,,,,,,0.0,,,,2.0,2.0,,2.0,,0.0,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,2.0,,,2.0,,,ate garlic
,,0.0,,,,,,,,,,,,,,2.0,0.0,,,,,,,,2.0,,,,0.0,0.0,,0.0,,2.0,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,1 slice of cheese 
,2.0,,0.0,0.0,,0.0,,,2.0,0.0,0.0,,,2.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,2.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,2.0,,slept in chair
,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,,,,0.0,2.0,2.0,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,0.0,Daytime nap
,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,,,,0.0,2.0,2.0,,,,,0.0,,,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,0.0,Wellbutrin
,,0.0,,,,,,,,,,,,,,2.0,0.0,,,,,,,,2.0,,,,0.0,0.0,,0.0,,2.0,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,archery
