Wear shoulder brace,didn't really eat lunch,napped well,grapes,Buteyko  breathing exercises ,More stretching,allergy shot,fast food,3 drinks,marijuana,Protecting back,had sex,walked,Lying flat,Miralax low dose at night,Woke Up With Alarm,drank alcohol,breakfast,Better sleep,fuck yeah avocado,took a bath ,ate breakfast,haircut,washing up,busy,cooked breakfast,Zofran,Hydroxyzine,vacation,gluten free,bed day,nap,dairy,dairy free,party,Ambien CR,banana,exercise,ate red meat,cuddled kitten,Oxynorm,Slept well,gluten,coconut,Weighted Blanket,Superlong nap,read science book,had sex ,blowjob,listen to music ,heating pads,Norco,very little sleep,heavy physcial exertion,Late lunch,mass transit,read book,grains,Freezie wrap,didn't eat breakfast,no breakfast,ate grains,studied,cuddles!,Awesome cheat day,had sex last night,12K Steps,new environment,bed late,butternut squash risotto,Poor sleep (hotel),cocodamol,ate at a restaurant,drawing,short nap,row
2.0,,2.0,,,2.0,,,2.0,,0.0,,0.0,2.0,0.0,2.0,,,2.0,,,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,,0.0,2.0,0.0,,2.0,,,,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,,,2.0,,2.0,,2.0,,,,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,drank alcohol
,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,,2.0,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,breakfast
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,Better sleep
,,,,0.0,,2.0,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,2.0,,,,,,,,2.0,2.0,,,,2.0,,2.0,2.0,2.0,,,,,,,2.0,,,fuck yeah avocado
,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,,2.0,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,took a bath 
0.0,0.0,0.0,,,0.0,,0.0,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302696962667,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,0.0778056181715,0.0,2.0,0.0,0.0,,,0.486319189629,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,0.0,,0.359906361804,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,ate breakfast
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,haircut
,,,,2.0,,0.0,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,washing up
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,busy
,0.0,,,,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,2.0,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,cooked breakfast
