Kalb,went to library,Moms birthday,walked,couldn't sleep because homework,saw a movie,Anna,row
,0.0,0.0,0.0,0.0,0.0,0.0,Kalb
0.0,,0.0,0.0,0.0,0.0,0.0,went to library
0.0,0.0,,0.0,0.0,0.0,0.0,Moms birthday
0.0,0.0,0.0,,0.0,0.0,0.0,walked
0.0,0.0,0.0,0.0,,0.0,0.0,couldn't sleep because homework
0.0,0.0,0.0,0.0,0.0,,0.0,saw a movie
0.0,0.0,0.0,0.0,0.0,0.0,,Anna
