Borage oil,Gelatin,amphetamine salts,Coconut Oil Pulling,row
,0.0,2.0,0.0,Borage oil
0.0,,2.0,0.0,Gelatin
2.0,2.0,,,amphetamine salts
0.0,0.0,,,Coconut Oil Pulling
