chicken wild rice soup,8k steps,Phyical Therapy - stretches,Caffeine,Osteopathy,Toprol,Amitriptyline,busy,corncakes,avocado bun,coco pops,fiber art - sewing,grilled cheese,Flexeril,11K steps,home alone,bubble and squeak roast,Corticosteroids,Tretinoin,picnic,bed day,Bicarb on scalp,slept 7 hours,Charcoal,Relaxing,no sleep,skipped meals,Clinda-derm,Synthroid,lots of desk work,excedrin migraine,Low-FODMAP diet,broken sleep,exercise,Inderal,spicy mock beef,Vitamin B,listen to music ,Probiotics,ate salsa,pasta,exercised,crafting,Medication,slimfast,Zomig,drank wine,Daytime nap,Vitamin d,Contraceptive pill,buses,physical therapy,Omeprazole,ironing,Metformin,Went out on date,vacation,15K steps,orange and verveine tea,worked in garden,banana,bbq,shopping,slept >12 hrs,scary new shit,soy or tofu main dish eaten,2K steps,Tranexamic acid,Gardening,not great sleep,soup,catered food,Church,soft drink,Dicyclomine,studied,fry up breakfast,allergy shot,Inolaxol,marijuana,minestrone,Pantoprazole,Soy Sauce,Iberogast,Fexofenadine,cooked breakfast,severe pain,lift x2,Lazy day,Achy breaky rub,ate gluten,pizza,Enada,laundry,dumpling stew,Kayaking,Progesterone,no breakfast,Car travel,Iodine,big burger,Montelukast,bone broth,long walk,Multi-vitamin,row
,,2.0,,2.0,,,0.0,,,,,,,,2.0,2.0,2.0,0.0,0.0,0.0,,,,2.0,0.0,0.0,2.0,,0.0,2.0,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,,2.0,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,,,,2.0,2.0,0.0,,0.0,,0.0,,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,,,2.0,0.0,2.0,,chicken wild rice soup
,,,,,,2.0,,,,,,,2.0,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,8k steps
2.0,,,,0.0,,,2.0,,,,,,,,0.0,0.0,0.0,2.0,2.0,2.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,,2.0,2.0,,,0.0,,,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,,0.0,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,,,,0.0,0.0,2.0,,2.0,,2.0,,0.0,2.0,,0.0,2.0,0.0,2.0,2.0,0.0,,,0.0,2.0,,,2.0,2.0,,,,0.0,2.0,0.0,,Phyical Therapy - stretches
,,,,,,,,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,,Caffeine
2.0,,0.0,,,,,2.0,,,,,,,,0.0,0.0,0.0,2.0,2.0,2.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,,2.0,2.0,,,0.0,,,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,,0.0,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,,,,0.0,0.0,2.0,,2.0,,2.0,,0.0,2.0,,0.0,2.0,0.0,2.0,2.0,0.0,,,0.0,2.0,,,2.0,2.0,,,,0.0,2.0,0.0,,Osteopathy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toprol
,2.0,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,2.0,,,,,,,Amitriptyline
0.0,,2.0,,2.0,,,,,,,,,,,2.0,2.0,2.0,0.0,0.0,0.0,,0.0,,2.0,0.0,0.0,2.0,,0.0,2.0,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,,2.0,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,,,,2.0,2.0,0.0,,0.0,,0.0,,2.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,0.0,,,0.0,0.0,,,,2.0,0.0,2.0,,busy
,,,0.0,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,,corncakes
,,,0.0,,,,,0.0,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,,avocado bun
