Diazepam,Ex bike,Ranitidine,Acetyl Carnitine,Lithium,Sunlight,Albuterol Inhaler,Naproxen,Acetaminophen,Amitriptyline,birth control,Magnesium glycinate,Melatonin,N-Acelcysteine,5-htp,Nasonex,Claritin,pilates,Strattera,Creatine,Clonazepam,Ecural,Magnesium gel,Daily walk,Excedrin,Diclofenac,Famotidine,Turmeric,Vitamin b complex,Multi vitamin,Topical ibuprofen,Ligament Restore,Wore arch supports all day,Standing desk,therapy session,Stretching,Astelin,SAD Light Box,Calcium citrate,Vitamin C,antihistamines,Physiotherapy,Vitamin D3,Steps,Magnesium,5 or more portions of fruit and veg,Panamax,THC,cocodamol,Prednisone,Allegra,Klonopin,Cetirizine,Singulair,Benadryl,Fish oil,Ibuprofen 600mg,cough syrup,Tizanidine,Rest,CoQ10,Cranberry extract,Vitamin b12,Sleep,Post-op ice device,Zinc,Vitamin d,Soluble Aspirin,Meditation,Nortriptyline,massage,linseed,row
,,,,,0.0,,,,,0.0,0.0286009935033,0.0286009935033,,0.0286009935033,0.0286009935033,0.0286009935033,,,,,,,,,,0.0286009935033,,0.0286009935033,,,,,,0.0,,0.0286009935033,,,0.0286009935033,,,,,,,,0.0,,,2.22044604925e-16,1.11022302463e-16,,0.0286009935033,,0.0194193243089,,,,,0.0,,0.0194193243089,,0.0,0.0286009935033,0.0286009935033,,,,,,Strattera
,,,0.0,0.000109980325733,,,,,,,,,0.0,,,,,,,5.92891376838e-06,0.0,0.0,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,0.0,,,0.207813063833,,,,,,,,,,,,,,,,,2.0,0.0,,0.0001293893449,,0.0,Creatine
,,,0.0,0.000166978190039,,,,,,,,,0.0,,,,,,5.92891376838e-06,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,0.0,,,0.209919263559,,,,,,,,,,,,,,,,,2.0,0.0,,7.99248434734e-05,,0.0,Clonazepam
,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,0.0,,0.0,Ecural
,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,0.0,,0.0,Magnesium gel
0.0,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,,,,Daily walk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,Excedrin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diclofenac
,,,,,0.0,,,,,0.0,-2.22044604925e-16,-2.22044604925e-16,,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,,0.0286009935033,,,,,,,,,,-2.22044604925e-16,,,,,,0.0,,-2.22044604925e-16,,,-2.22044604925e-16,,,,,,,,0.0,,,0.0286009935033,0.0286009935033,,-2.22044604925e-16,,0.00089652346299,,,,,0.0,,0.00089652346299,,0.0,-2.22044604925e-16,-2.22044604925e-16,,,,,,Famotidine
,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,Turmeric
,,,,,0.0,,,,,0.0,-2.22044604925e-16,-2.22044604925e-16,,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,,0.0286009935033,,,,,,,,-2.22044604925e-16,,,,,,,,0.0,,-2.22044604925e-16,,,-2.22044604925e-16,,,,,,,,0.0,,,0.0286009935033,0.0286009935033,,-2.22044604925e-16,,0.00089652346299,,,,,0.0,,0.00089652346299,,0.0,-2.22044604925e-16,-2.22044604925e-16,,,,,,Vitamin b complex
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Multi vitamin
0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,Topical ibuprofen
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Ligament Restore
