Metoprolol,Medications,Viibryd,gluten free diet,physical therapy,Fluvoxamine,Vyvanse,Sunlight,adapten-all,Levothyroxine,birth control,mountain biking,Magnesium glycinate,Nabumetone,neuro,Exercise,5-htp,Nasonex,Claritin,Strattera,Fluoxetine,Clonazepam,Methylphenidate,Armodafinil,Coenzyme q-10,Walking,gluten free,Plaquenil,Dermatologist,Topiramate,Hydroxychloroquine,Tyrosine,Vitamin b complex,therapy session,Ibuprofen,Astelin,Caffeine,Vitamin C,Voltaren,Magnesium,Midodrine,Iodine,fiber art - sewing,THC,Famotidine,psychiatrists,Allegra,Klonopin,dexamphetamine,Quell Unit,Singulair,Sertraline,Fish oil,CoQ10,Ultrasound,Vitamin b12,Cabergoline,Post-op ice device,Zinc,Vitamin d,Love,Melatonin,counselor,Thyroid-Pro,Meditation,Ropinirole,row
,,,,,,,0.0,,,0.0,,0.0550139265595,,,,0.0550139265595,0.0550139265595,0.0550139265595,,,,,,,,,,,,,,0.0550139265595,0.0,,0.0550139265595,,0.0550139265595,,,,,,0.0,0.0550139265595,,-2.22044604925e-16,0.0,,,0.0550139265595,,0.0167179950154,0.0,,0.0167179950154,,0.0,0.0550139265595,0.0550139265595,,0.0550139265595,,,,,Strattera
2.0,,1.76182805669,0.0,,,,,,1.75943913581,,,,,,0.0,,,,,,,,1.98083778328,,,2.0,,,,,,,,,,1.96748174669,,,,,,,,,,,,,,,,,,,,1.97204097953,,,,,,,,1.90738994605,,Fluoxetine
,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Clonazepam
,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,0.0,Methylphenidate
0.0,,0.12656588843,2.0,,,,,,0.128363701204,,,,,,2.0,,,,,1.98083778328,,,,,,0.0,,,,,,,,,,0.00177784848565,,,,,,,,,,,,,,,,,,,,0.000838095470441,,,,,,,,0.028114204837,,Armodafinil
,2.0,,,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,2.0,,,,Coenzyme q-10
,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,0.0,,,,Walking
0.0,,0.0,2.0,,,,,,0.0,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,gluten free
,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,0.0,Plaquenil
,2.0,,,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,2.0,,,,Dermatologist
,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,0.0,Topiramate
,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Hydroxychloroquine
,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,0.0,Tyrosine
,,,,,,,0.0,,,0.0,,-2.22044604925e-16,,,,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,0.0550139265595,,,,,,,,,,,,,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,,,,,0.0,-2.22044604925e-16,,0.0550139265595,0.0550139265595,,,-2.22044604925e-16,,0.01124887845,0.0,,0.01124887845,,0.0,-2.22044604925e-16,-2.22044604925e-16,,-2.22044604925e-16,,,,,Vitamin b complex
,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,,,therapy session
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,,,,,,0.0,,,0.0,,-2.22044604925e-16,,,,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,0.0550139265595,,,,,,,,,,,,,-2.22044604925e-16,0.0,,,,-2.22044604925e-16,,,,,,0.0,-2.22044604925e-16,,0.0550139265595,0.0550139265595,,,-2.22044604925e-16,,0.01124887845,0.0,,0.01124887845,,0.0,-2.22044604925e-16,-2.22044604925e-16,,-2.22044604925e-16,,,,,Astelin
0.0,,0.0990954209753,2.0,,,,,0.0,0.100698660557,,,,,,2.0,,,,,1.96748174669,,,0.00177784848565,,,0.0,,,,,,,,,,,,,,,2.22044604925e-16,0.0,,,,,,,,,,,,,,0.000174733940071,,,2.22044604925e-16,,,,,0.0158083430305,,Caffeine
,,,,,,,0.0,,,0.0,,-2.22044604925e-16,,,,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,0.0550139265595,,,,,,,,,,,,,-2.22044604925e-16,0.0,,-2.22044604925e-16,,,,,,,,0.0,-2.22044604925e-16,,0.0550139265595,0.0550139265595,,,-2.22044604925e-16,,0.01124887845,0.0,,0.01124887845,,0.0,-2.22044604925e-16,-2.22044604925e-16,,-2.22044604925e-16,,,,,Vitamin C
,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,0.0,Voltaren
,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,0.0,Magnesium
,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,0.0,Midodrine
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22044604925e-16,,,,,,0.0,,,,,,,,,,,,,,,,,2.22044604925e-16,,,,,,,Iodine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,fiber art - sewing
,,,,,,,0.0,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,,THC
