Ritalin,hiking,BeachBody OnDemand,physical therapy,snuggles,Cyclizine,Dehydrated,Florinef,slept not alone,had sex last night,singing,ate breakfast,Solifenacin,Darifenacin,Probiotic,Medical Marijuana,digestive enzyme,travel,Ribose,Monteluklast,slept lots,Socialising,Ate too late,Feverfew,Carbomer eye drops,woke up late,alverine,dairy,holiday,Friends,Piyo,exercise,A little stressed,shopping,SAM-E,very active aqua class,Superlong nap,Cider,TigerBalm,went to bed too late,busy,scary new shit,Social,worked,day at home,Cetraben cream,Much sex,Cinema,Guarana & Ginseng,Ginger,Work hard,Hydrocortisone,Vitamin b12,walked,Cerelle,Passionflower,Singing,row
0.091370417447,2.0,0.0,0.0,2.0,0.161064050956,2.0,0.0,2.0,2.0,0.0,1.67845660651,0.185887440803,0.0,,,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.000514906036563,0.0,2.0,0.0,1.96361024933,0.0,2.0,0.0,2.0,2.0,1.89609469614,0.0,0.0,2.0,2.0,0.0,2.0,1.62633617548,1.90384813467,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,Probiotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical Marijuana
2.0,2.0,0.0,0.0,2.0,0.0,,0.0,,,,2.0,0.0,,0.0,,,,,,,,,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,digestive enzyme
2.0,,,,,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,,,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,travel
0.0,,,,,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,,2.0,,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,,2.0,,2.0,0.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,Ribose
0.0,,,,,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,,2.0,,2.0,0.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,Monteluklast
2.0,,,,,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,,0.0,2.0,2.0,,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,slept lots
2.0,,,,,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,Socialising
2.0,,,,,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,,0.0,2.0,2.0,0.0,0.0,,2.0,2.0,,2.0,0.0,2.0,0.0,,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,Ate too late
0.078438834493,2.0,0.0,0.0,2.0,0.178958494722,2.0,0.0,2.0,2.0,0.0,1.65453518375,0.204939522109,0.0,0.000514906036563,,0.0,2.0,0.0,0.0,2.0,2.0,2.0,,0.0,2.0,0.0,1.95453698477,0.0,2.0,0.0,2.0,2.0,1.8813912599,0.0,0.0,2.0,2.0,0.0,2.0,1.60100049943,1.91711107967,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.000514906036563,0.0,0.0,0.000514906036563,2.0,Feverfew
0.0,,,,,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,,,0.0,2.0,0.0,2.0,,2.0,,2.0,0.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,Carbomer eye drops
0.0,0.0,2.0,2.0,0.0,2.0,,2.0,,,,0.0,2.0,,2.0,,2.0,,,,,,,2.0,,,,0.0,,,2.0,,0.0,0.0,,2.0,,,2.0,,0.0,2.0,,,2.0,,,,,,,2.0,2.0,,,2.0,,woke up late
0.0,,,,,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,,2.0,0.0,2.0,,2.0,,2.0,0.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,alverine
1.76393480678,0.0,2.0,2.0,0.0,1.95388610765,0.0,2.0,0.0,0.0,2.0,0.149854618905,1.93971672962,2.0,1.96361024933,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.95453698477,2.0,0.0,2.0,,2.0,0.0,2.0,0.0,0.0,0.0178644274208,2.0,2.0,0.0,0.0,2.0,0.0,0.188072759891,0.243412692645,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,1.96361024933,2.0,2.0,1.96361024933,0.0,dairy
0.0,,,,,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,,2.0,0.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,holiday
2.0,,,,,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,,,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,Friends
2.0,2.0,0.0,0.0,2.0,0.0,,0.0,,,,2.0,0.0,,0.0,,0.0,,,,,,,0.0,,2.0,,2.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,Piyo
2.0,,,,,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,,,,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,exercise
0.0,0.0,2.0,2.0,0.0,2.0,,2.0,,,,0.0,2.0,,2.0,,2.0,,,,,,,2.0,,0.0,,0.0,,,2.0,,,0.0,,2.0,,,2.0,,0.0,2.0,,,2.0,,,,,,,2.0,2.0,,,2.0,,A little stressed
