Ritalin,Cyclizine,Dehydrated,slept 7 hours,slept not alone,slept lots,singing,ate breakfast,Solifenacin,Coffee,Darifenacin,Probiotic,walked,travel,Ribose,Monteluklast,Socialising,Ate too late,Feverfew,Carbomer eye drops,alverine,dairy,holiday,Friends,had sex last night,exercise,shopping,SAM-E,Superlong nap,Cider,scary new shit,went to bed too late,busy,Social,worked,Cetraben cream,Much sex,Cinema,Guarana & Ginseng,Ginger,Work hard,Vitamin b12,Cerelle,Passionflower,Singing,row
0.0,0.0,2.0,,2.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Carbomer eye drops
0.0,0.0,2.0,,2.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,alverine
2.0,2.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,dairy
0.0,0.0,2.0,,2.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,holiday
2.0,2.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,Friends
2.0,2.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,had sex last night
2.0,2.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,exercise
2.0,2.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,shopping
0.0,0.0,2.0,,2.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,SAM-E
2.0,2.0,0.0,,0.0,0.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,Superlong nap
