Writing,Ex bike,hiking,Tranexamic acid,Women's probiotic,Zantac,Phyical Therapy - stretches,IVIG,Therapy,MitoQ ,Caffeine,Osteopathy,Tylenol 3,Cannabis,floravit iron,Naproxen,Ambien CR,Miralax low dose at night,severe pain,Soluble Aspirin,pur-absorb iron,Aspirin,Daily walk,Vitamin D3,Prednisone,meds,digestive enzyme,Cod liver oil,Lithium,Flonase,Snooze,Buspirone,Feverfew,DLPA,Clarithromycin,Psyllium husk,Mirtazapine,DEHA,Vitamin b complex,spice,alverine,Gui Pi Pills,milk,Methylcobalamine,Probiotic,heavy lifting,Excedrin,Stretching,Tummy Tamers,TigerBalm,Cat,Walked a lot,Dinner,Steps,Magnesium,Panamax,THC,Cambia,Swimming,Allegra,Triamcinolone Cream,home alone,Guarana & Ginseng,Fish oil,Marijuana,Rest,Post-op ice device,Nutrasea Fish Oil,cocodamol,Corticosteroids,sushi,Lexapro,Dicyclomine,Home physio exercises,Ritalin,Toprol,Benadryl,Aleve,Prilosec,Aromatherapy,Physiotherapy,Compression Stockings,Acetaminophen,went swimming,nsaid,Hydrocortisone,Solifenacin,Nasal spray,Claritin,pilates,Prednisolone,Strattera,Relaxing,Low oxalate,Citalopram,Zofran,Clinda-derm,Hydroxyzine,Sauna,slept in chair,7-keto-dhea,Dexedrine,Carbomer eye drops,dairy,Turmeric,exercise,Veggies,Humira,Slept well,Standing desk,Physical activity,ate badly,Equilibrant,Vitamin C,Dr J study,Vitamin B complex - 50,listen to music ,Valdoxan,linseed,Kirkland Fish Oil,5 or more portions of fruit and veg,Tavegyl,Daytime nap,eye drops,Meditation,Cleaning ,Gabapentin,ate well,Klonopin,Medication,Cetirizine,CBD,Vitamin B,LUSH acne spot-treatment,Zomig,hydrocortisone suppository ,Ginger,Eyebright Complex,Cranberry extract,Vitamin b12,rice noodles,Triamcinolone Lotion,Vitamin d,Ice pack,Prednesone,Tolterodine,massage,Diazepam,Iron,Contraceptive pill,More stretching,physical therapy,Vitamin a,Bu Zhong Yi Qi capsules,L-methylfolate,Vyvanse,Fexofenadine,travel,Vitamin d+calcium,Tretinoin,Albuterol Inhaler,Florinef,Lying flat,Levothyroxine,Metformin,Magnesium gel,sugar free diet,Creatine,Clonazepam,Migraine Diet,Ribose,Physio,Topiramate,Cetraben cream,Ibuprophen,Citrucel,Valium,depo-provera shot,Paracatamol with codeine,Oxynorm,elliptical,SAM-E,Trigger Points,swim class,Ligament Restore,Calcium citrate,Garden of Life Raw Meal,Calcium,slept in,eye compress,Glucosamine,Multivitamin,Purenithol,ponstan,rebounding,Escitalopram,relaxed day,Pain management,Acetyl-l-carnitine,Turmeric tea,Snacks,stool softener,Zinc,Ibuprofen,Hemorrhoid Cream,Melatonin,Nortriptyline,Pantoprazole,Wear shoulder brace,Alcohol,BeachBody OnDemand,Cyclizine,Selenium,Sunlight,Ventolin,Imodium,aqua therapy,birth control,Inflamma-blox,Magnesium glycinate,5-htp,colofac mr,Nasonex,Forever Aloe Berry,Darifenacin,yoga,Zolpidem ER,Wei Zhang Shun Qi Wan,use exercise bike,Ocella,Ecural,Monteluklast,eye ointment,gluten free,spicy meal,housework,Exercise--walking,Achy breaky rub,dairy free,Famotidine,cream,Piyo,Cat ,Topical ibuprofen,Enada,Protecting back,Wore arch supports all day,Ranitidine,strapping of shoulder,Neti Pot,Cerelle,Codeine,Astelin,Gan Mao Qing anti-viral,Progesterone,Spironolactone,Methotrexate,Migraine herb feverfew tablets,Yin Chiao,heating pads,Norco,Tian Ma Tou Tong - headache,Lexam,Adderall,Ondansetron,Keppra,pool,Pataday,Zoladex,Azathioprine,Passionflower,over ate,Freezie wrap,Singulair,excedrin migraine,Ferrous sulfate,cough syrup,psychologist,Wei Te Ling - heartburn,Montelukast,Voltaren,Sleep,Paracetamol,Multi-vitamin,Singing,drawing,Pristiq,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caffeine
,,,0.587263827015,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,2.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.103667935142,,1.49186961371,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.361025698861,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1.33521560869,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,0.0,,,,,,,0.541276486964,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,0.0,,,,Osteopathy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tylenol 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannabis
,,,,0.0,,,,,,,,,,,,,,,0.0,2.0,,0.0,,,,,,0.0,,,2.0,,2.0,,,0.0265215774324,,,,,2.0,,,,,,,,,,,,,1.6676419895,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,0.0,,2.0,,2.0,0.0,0.0,,,,,,,,,,,,,2.0,,,,,2.0,,,,,1.64788470719,,,,,,2.0,,,,2.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,2.0,,2.0,,,,1.77616107571,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,1.99609582219,2.0,,,2.0,,,0.411479095892,,,1.94409037142,,,1.97590162449,0.0,,,,,,,0.0,,,2.0,,0.0,,,,,,,floravit iron
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naproxen
,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,2.65539257749e-06,,8.46068934501e-06,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,,0.0,,,,,,,0.000160418972739,0.00209459959585,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,Ambien CR
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,Miralax low dose at night
2.0,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,0.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,2.0,,,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,0.0,,,severe pain
,,,,0.0,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,0.0,,,2.0,,2.0,,,2.0,,,,,2.0,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,2.0,,2.0,0.0,0.0,,,,,,,,,,,,,2.0,,,,,2.0,,,,,0.0,,,,,,2.0,,,,2.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,2.0,,2.0,,,,0.0,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,2.0,,,,,,0.0,,,2.0,,,0.0,0.0,,,,,,,0.0,,,2.0,,0.0,,,,,,,Soluble Aspirin
